avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
30000	1.85e-05	0.00e+00	1142	75180
60000	1.06e-05	0.00e+00	1141	43273
104993	7.70e-06	0.00e+00	2279	62575
164993	6.12e-06	0.00e+00	2275	49659
224993	5.84e-06	0.00e+00	2271	47288
284993	5.85e-06	0.00e+00	2267	47252
344993	5.65e-06	0.00e+00	2263	45553
404993	5.51e-06	0.00e+00	2259	44363
464993	5.29e-06	0.00e+00	2255	42548
524993	4.92e-06	0.00e+00	2251	39452
584993	4.63e-06	0.00e+00	2247	37077
644993	4.45e-06	0.00e+00	2243	35600
719982	4.24e-06	0.00e+00	3357	50729
809982	4.15e-06	0.00e+00	3348	49553
899982	3.94e-06	0.00e+00	3339	46880
989981	3.79e-06	0.00e+00	3330	45032
1079981	3.76e-06	0.00e+00	3321	44509
1169981	3.73e-06	0.00e+00	3312	44006
1259981	3.70e-06	0.00e+00	3303	43604
1349981	3.69e-06	0.00e+00	3294	43324
1439981	3.48e-06	0.00e+00	3285	40689
1529981	3.42e-06	0.00e+00	3276	39990
1619981	3.36e-06	0.00e+00	3267	39071
1709981	3.29e-06	0.00e+00	3258	38158
1799981	3.29e-06	0.00e+00	3249	38055
1889981	3.25e-06	0.00e+00	3240	37573
1979981	3.13e-06	0.00e+00	3231	36008
2069981	2.96e-06	0.00e+00	3222	34012
2159981	2.90e-06	0.00e+00	3213	33227
2249981	2.94e-06	0.00e+00	3204	33618
2339981	2.89e-06	0.00e+00	3195	32874
2444964	2.71e-06	0.00e+00	4246	41035
2564964	2.62e-06	0.00e+00	4230	39436
2684964	2.46e-06	0.00e+00	4214	36927
2804964	2.38e-06	0.00e+00	4198	35676
2924964	2.27e-06	0.00e+00	4182	33899
3044963	2.24e-06	0.00e+00	4166	33229
3164963	2.24e-06	0.00e+00	4150	33156
3299941	2.11e-06	0.00e+00	5165	38857
3449941	2.11e-06	0.00e+00	5140	38671
3599941	2.03e-06	0.00e+00	5115	37099
3749941	1.98e-06	0.00e+00	5090	35936
3899940	1.95e-06	0.00e+00	5065	35113
4049940	1.85e-06	0.00e+00	5040	33208
4199940	1.78e-06	0.00e+00	5015	31894
4364912	1.74e-06	0.00e+00	5985	37191
4544911	1.72e-06	0.00e+00	5949	36392
4724911	1.68e-06	0.00e+00	5913	35400
4904910	1.66e-06	0.00e+00	5877	34693
5084910	1.62e-06	0.00e+00	5841	33671
5264909	1.62e-06	0.00e+00	5805	33589
5444908	1.57e-06	0.00e+00	5769	32255
5624908	1.59e-06	0.00e+00	5733	32433
5804907	1.54e-06	0.00e+00	5697	31352
5999872	1.45e-06	0.00e+00	6601	34110
6209871	1.39e-06	0.00e+00	6552	32480
6419870	1.36e-06	0.00e+00	6503	31477
6644829	1.32e-06	0.00e+00	7372	34595
6884827	1.28e-06	0.00e+00	7308	33213
7124826	1.25e-06	0.00e+00	7244	32367
7364824	1.22e-06	0.00e+00	7180	31259
7604822	1.20e-06	0.00e+00	7116	30343
7859772	1.17e-06	0.00e+00	7929	32932
8129770	1.14e-06	0.00e+00	7848	31977
8399768	1.12e-06	0.00e+00	7767	31118
8684710	1.10e-06	0.00e+00	8535	33320
8984706	1.08e-06	0.00e+00	8435	32380
9284703	1.06e-06	0.00e+00	8335	31497
9584699	1.04e-06	0.00e+00	8235	30482
9899630	1.02e-06	0.00e+00	8943	32401
10229625	1.00e-06	0.00e+00	8822	31580
10559620	1.00e-06	0.00e+00	8701	31005
10889615	9.82e-07	0.00e+00	8580	30035
11234534	9.62e-07	0.00e+00	9222	31612
11594527	9.43e-07	0.00e+00	9078	30504
11969435	9.24e-07	0.00e+00	9672	31837
12359425	9.06e-07	0.00e+00	9503	30693
12749415	8.95e-07	0.00e+00	9334	29782
13154308	8.76e-07	0.00e+00	9863	30806
13574293	8.64e-07	0.00e+00	9667	29781
14009171	8.50e-07	0.00e+00	10140	30715
14474034	8.22e-07	0.00e+00	10568	30980
14968881	7.85e-07	0.00e+00	10948	30640
15493711	7.53e-07	0.00e+00	11277	30249
16048519	7.27e-07	0.00e+00	11552	29920
16633305	7.06e-07	0.00e+00	11770	29623
17248063	6.83e-07	0.00e+00	11928	29044
17907582	6.59e-07	0.00e+00	12558	29483
18627011	6.38e-07	0.00e+00	13050	29665
19406330	6.29e-07	0.00e+00	13392	30025
20230821	6.24e-07	0.00e+00	13118	29164
21099886	6.22e-07	0.00e+00	13185	29237
22028739	6.36e-07	0.00e+00	13072	29633
23002765	6.52e-07	0.00e+00	12408	28844
24035519	6.64e-07	0.00e+00	12294	29093
25171828	6.67e-07	0.00e+00	12140	28878
26440613	6.89e-07	0.00e+00	11745	28837
27896886	7.07e-07	0.00e+00	11236	28295
29656184	7.81e-07	0.00e+00	10184	28351
44321169	-7.95e-08	0.00e+00	-99009	28064
