avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
449999	1.21e-03	0.00e+00	77	321485
900000	9.22e-04	0.00e+00	76	241463
1350000	8.13e-04	0.00e+00	75	210216
1800000	7.32e-04	0.00e+00	74	186604
2250000	6.52e-04	0.00e+00	73	164063
2700000	5.99e-04	0.00e+00	72	148497
3150000	5.51e-04	0.00e+00	71	134813
3600000	4.92e-04	0.00e+00	70	118618
4050000	4.58e-04	0.00e+00	69	108833
4500000	4.35e-04	0.00e+00	68	101850
4950000	3.97e-04	0.00e+00	67	91544
5400000	3.72e-04	0.00e+00	66	84589
5850000	3.43e-04	0.00e+00	65	76785
6300000	3.21e-04	0.00e+00	64	70790
6750000	3.04e-04	0.00e+00	63	65913
7200000	2.90e-04	0.00e+00	62	61912
7650000	2.76e-04	0.00e+00	61	58085
8100000	2.64e-04	0.00e+00	60	54653
8550000	2.55e-04	0.00e+00	59	51766
9000000	2.49e-04	0.00e+00	58	49848
9450000	2.45e-04	0.00e+00	57	48109
9900000	2.39e-04	0.00e+00	56	46026
10350000	2.30e-04	0.00e+00	55	43629
10800000	2.21e-04	0.00e+00	54	41047
11250000	2.14e-04	0.00e+00	53	39147
11700000	2.12e-04	0.00e+00	52	38040
12150000	2.10e-04	0.00e+00	51	36972
12600000	2.07e-04	0.00e+00	50	35746
13050000	2.06e-04	0.00e+00	49	34819
13500000	2.04e-04	0.00e+00	48	33719
13950000	2.01e-04	0.00e+00	47	32626
14400000	2.00e-04	0.00e+00	46	31627
14850000	1.97e-04	0.00e+00	45	30508
15300000	1.90e-04	0.00e+00	44	28843
15750000	1.84e-04	0.00e+00	43	27202
16200000	1.77e-04	0.00e+00	42	25665
16649999	1.74e-04	0.00e+00	41	24538
17100000	1.72e-04	0.00e+00	40	23674
17550000	1.70e-04	0.00e+00	39	22903
18000000	1.67e-04	0.00e+00	38	21929
18450000	1.65e-04	0.00e+00	37	21042
18900000	1.65e-04	0.00e+00	36	20413
19350000	1.63e-04	0.00e+00	35	19658
19800000	1.61e-04	0.00e+00	34	18904
20250000	1.57e-04	0.00e+00	33	17909
20700000	1.55e-04	0.00e+00	32	17086
21150000	1.52e-04	0.00e+00	31	16265
21600000	1.52e-04	0.00e+00	30	15690
22050000	1.51e-04	0.00e+00	29	15066
22500000	1.50e-04	0.00e+00	28	14461
22950000	1.50e-04	0.00e+00	27	13941
23400000	1.48e-04	0.00e+00	26	13263
23850000	1.46e-04	0.00e+00	25	12598
24300000	1.47e-04	0.00e+00	24	12134
24750000	1.47e-04	0.00e+00	23	11650
25200000	1.48e-04	0.00e+00	22	11202
25650000	1.48e-04	0.00e+00	21	10705
26100000	1.47e-04	0.00e+00	20	10146
26550000	1.47e-04	0.00e+00	19	9619
27000000	1.48e-04	0.00e+00	18	9172
27450000	1.49e-04	0.00e+00	17	8733
27900000	1.50e-04	0.00e+00	16	8292
28350000	1.51e-04	0.00e+00	15	7817
28800000	1.52e-04	0.00e+00	14	7320
29250000	1.56e-04	0.00e+00	13	7007
29700000	1.64e-04	0.00e+00	12	6776
30150000	1.66e-04	0.00e+00	11	6286
30600000	1.63e-04	0.00e+00	10	5616
31049999	1.58e-04	0.00e+00	9	4911
31500000	1.47e-04	0.00e+00	8	4054
31950000	1.35e-04	0.00e+00	7	3264
32400000	1.25e-04	0.00e+00	6	2594
32850000	9.83e-05	0.00e+00	5	1694
33299999	9.13e-05	0.00e+00	4	1258
33750000	8.41e-05	0.00e+00	3	869
34200000	1.31e-04	0.00e+00	2	903
34650000	2.85e-04	0.00e+00	1	982
0	0.00e+00	0.00e+00	0	1032
35550000	-3.38e-04	0.00e+00	-1	1163
36000000	-1.94e-04	0.00e+00	-2	1340
36450000	-1.27e-04	0.00e+00	-3	1317
36900000	-8.63e-05	0.00e+00	-4	1190
37350000	-4.85e-05	0.00e+00	-5	835
37800000	-1.76e-05	0.00e+00	-6	364
44010000	-1.94e-07	0.00e+00	-385	258
