avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
90000	8.12e-05	0.00e+00	383	112559
179999	5.33e-05	0.00e+00	382	73688
270000	5.01e-05	0.00e+00	381	69126
359999	5.06e-05	0.00e+00	380	69587
450000	4.76e-05	0.00e+00	379	65362
540000	4.18e-05	0.00e+00	378	57175
630000	3.83e-05	0.00e+00	377	52223
720000	3.65e-05	0.00e+00	376	49680
810000	3.62e-05	0.00e+00	375	49111
900000	3.65e-05	0.00e+00	374	49443
990000	3.34e-05	0.00e+00	373	45122
1080000	3.25e-05	0.00e+00	372	43803
1170000	3.21e-05	0.00e+00	371	43093
1260000	3.20e-05	0.00e+00	370	42925
1350000	3.15e-05	0.00e+00	369	42068
1440000	3.19e-05	0.00e+00	368	42461
1530000	3.02e-05	0.00e+00	367	40133
1620000	2.94e-05	0.00e+00	366	38946
1710000	2.92e-05	0.00e+00	365	38618
1800000	2.85e-05	0.00e+00	364	37545
1890000	2.77e-05	0.00e+00	363	36380
1980000	2.63e-05	0.00e+00	362	34439
2069999	2.62e-05	0.00e+00	361	34302
2160000	2.59e-05	0.00e+00	360	33706
2250000	2.63e-05	0.00e+00	359	34154
2340000	2.52e-05	0.00e+00	358	32620
2474936	2.38e-05	0.00e+00	713	61325
2654936	2.34e-05	0.00e+00	709	59972
2834936	2.26e-05	0.00e+00	705	57768
3014935	2.18e-05	0.00e+00	701	55374
3194935	2.14e-05	0.00e+00	697	54061
3374935	2.02e-05	0.00e+00	693	50569
3554934	1.92e-05	0.00e+00	689	47936
3734934	1.87e-05	0.00e+00	685	46314
3914933	1.81e-05	0.00e+00	681	44521
4094933	1.76e-05	0.00e+00	677	43142
4274933	1.69e-05	0.00e+00	673	41294
4454932	1.70e-05	0.00e+00	669	41217
4634932	1.65e-05	0.00e+00	665	39722
4814931	1.57e-05	0.00e+00	661	37556
4994931	1.52e-05	0.00e+00	657	36255
5174931	1.49e-05	0.00e+00	653	35295
5354930	1.48e-05	0.00e+00	649	34876
5534930	1.39e-05	0.00e+00	645	32366
5714929	1.35e-05	0.00e+00	641	31346
5894929	1.32e-05	0.00e+00	637	30488
6074928	1.29e-05	0.00e+00	633	29511
6254928	1.25e-05	0.00e+00	629	28533
6434928	1.21e-05	0.00e+00	625	27454
6659806	1.19e-05	0.00e+00	930	39924
6929804	1.16e-05	0.00e+00	921	38752
7199802	1.13e-05	0.00e+00	912	37170
7469800	1.10e-05	0.00e+00	903	35878
7739798	1.06e-05	0.00e+00	894	34356
8009796	1.04e-05	0.00e+00	885	33195
8279794	1.01e-05	0.00e+00	876	32005
8549792	9.90e-06	0.00e+00	867	31086
8819790	9.79e-06	0.00e+00	858	30424
9089787	9.67e-06	0.00e+00	849	29735
9359785	9.55e-06	0.00e+00	840	29037
9629783	9.46e-06	0.00e+00	831	28476
9899781	9.28e-06	0.00e+00	822	27620
10169778	9.10e-06	0.00e+00	813	26806
10439776	8.88e-06	0.00e+00	804	25852
10754574	8.61e-06	0.00e+00	1058	32993
11114568	8.38e-06	0.00e+00	1042	31635
11474561	8.30e-06	0.00e+00	1026	30850
11834554	8.24e-06	0.00e+00	1010	30124
12194547	8.21e-06	0.00e+00	994	29539
12554539	8.11e-06	0.00e+00	978	28722
12914532	8.04e-06	0.00e+00	962	28017
13274524	8.01e-06	0.00e+00	946	27433
13634516	7.94e-06	0.00e+00	930	26732
13994507	7.84e-06	0.00e+00	914	25959
14354498	7.81e-06	0.00e+00	898	25384
14714489	7.76e-06	0.00e+00	882	24771
15074480	7.58e-06	0.00e+00	866	23772
15479150	7.34e-06	0.00e+00	1060	28191
15929130	7.08e-06	0.00e+00	1035	26544
16379108	6.88e-06	0.00e+00	1010	25164
16829086	6.78e-06	0.00e+00	985	24188
17279062	6.70e-06	0.00e+00	960	23286
17773592	6.68e-06	0.00e+00	1119	27056
18313545	6.50e-06	0.00e+00	1083	25506
18853495	6.49e-06	0.00e+00	1047	24588
19393442	6.41e-06	0.00e+00	1011	23478
19933384	6.32e-06	0.00e+00	975	22323
20517692	6.17e-06	0.00e+00	1092	24396
21147583	6.02e-06	0.00e+00	1043	22754
21821660	6.01e-06	0.00e+00	1132	24640
22541460	5.95e-06	0.00e+00	1068	23012
23305200	5.93e-06	0.00e+00	1125	24156
24114827	5.86e-06	0.00e+00	1044	22146
24968028	5.93e-06	0.00e+00	1065	22872
25910625	5.95e-06	0.00e+00	1056	22748
26942307	6.03e-06	0.00e+00	1014	22157
28062500	6.21e-06	0.00e+00	936	21035
29311034	6.64e-06	0.00e+00	870	20933
30804146	6.91e-06	0.00e+00	779	19495
44090168	-4.91e-07	0.00e+00	-10829	19237
