avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
30000	1.66e-05	0.00e+00	1142	71941
60000	9.82e-06	0.00e+00	1141	42566
104993	7.67e-06	0.00e+00	2279	66435
164993	6.46e-06	0.00e+00	2275	55850
224993	6.27e-06	0.00e+00	2271	54099
284993	6.22e-06	0.00e+00	2267	53632
344993	6.31e-06	0.00e+00	2263	54283
404993	6.24e-06	0.00e+00	2259	53576
464993	5.75e-06	0.00e+00	2255	49263
524993	5.48e-06	0.00e+00	2251	46852
584993	5.14e-06	0.00e+00	2247	43909
644993	4.96e-06	0.00e+00	2243	42315
704993	4.67e-06	0.00e+00	2239	39718
764993	4.49e-06	0.00e+00	2235	38115
824993	4.49e-06	0.00e+00	2231	38112
884993	4.37e-06	0.00e+00	2227	36963
944993	4.41e-06	0.00e+00	2223	37248
1004993	4.39e-06	0.00e+00	2219	37000
1079981	4.19e-06	0.00e+00	3321	52882
1169981	3.91e-06	0.00e+00	3312	49218
1259981	3.74e-06	0.00e+00	3303	46908
1349981	3.77e-06	0.00e+00	3294	47191
1439981	3.89e-06	0.00e+00	3285	48510
1529981	3.70e-06	0.00e+00	3276	46030
1619981	3.50e-06	0.00e+00	3267	43457
1709981	3.35e-06	0.00e+00	3258	41463
1799981	3.26e-06	0.00e+00	3249	40225
1889981	3.26e-06	0.00e+00	3240	40147
1979981	3.21e-06	0.00e+00	3231	39386
2069981	3.25e-06	0.00e+00	3222	39848
2159981	3.02e-06	0.00e+00	3213	36876
2249981	2.92e-06	0.00e+00	3204	35551
2339981	2.90e-06	0.00e+00	3195	35219
2444964	2.83e-06	0.00e+00	4246	45648
2564964	2.73e-06	0.00e+00	4230	43895
2684964	2.57e-06	0.00e+00	4214	41171
2804964	2.56e-06	0.00e+00	4198	40845
2924964	2.47e-06	0.00e+00	4182	39268
3044963	2.37e-06	0.00e+00	4166	37446
3164963	2.27e-06	0.00e+00	4150	35852
3284963	2.18e-06	0.00e+00	4134	34207
3419941	2.14e-06	0.00e+00	5145	41816
3569941	2.07e-06	0.00e+00	5120	40230
3719941	1.98e-06	0.00e+00	5095	38301
3869940	1.89e-06	0.00e+00	5070	36507
4019940	1.87e-06	0.00e+00	5045	35827
4169940	1.82e-06	0.00e+00	5020	34681
4319939	1.78e-06	0.00e+00	4995	33878
4469939	1.75e-06	0.00e+00	4970	33097
4634911	1.67e-06	0.00e+00	5931	37607
4814910	1.63e-06	0.00e+00	5895	36449
4994910	1.57e-06	0.00e+00	5859	35035
5174909	1.54e-06	0.00e+00	5823	33980
5354909	1.50e-06	0.00e+00	5787	32989
5549874	1.45e-06	0.00e+00	6706	37053
5759873	1.43e-06	0.00e+00	6657	36245
5969872	1.37e-06	0.00e+00	6608	34445
6179871	1.33e-06	0.00e+00	6559	33236
6404830	1.30e-06	0.00e+00	7436	36664
6644829	1.25e-06	0.00e+00	7372	35140
6884827	1.22e-06	0.00e+00	7308	33993
7124826	1.19e-06	0.00e+00	7244	32836
7379777	1.17e-06	0.00e+00	8073	35835
7649774	1.15e-06	0.00e+00	7992	34779
7919772	1.13e-06	0.00e+00	7911	33850
8189770	1.10e-06	0.00e+00	7830	32823
8474712	1.08e-06	0.00e+00	8605	35391
8774708	1.06e-06	0.00e+00	8505	34290
9074705	1.05e-06	0.00e+00	8405	33391
9374701	1.03e-06	0.00e+00	8305	32367
9689634	1.01e-06	0.00e+00	9020	34489
10019629	9.80e-07	0.00e+00	8899	33159
10349624	9.51e-07	0.00e+00	8778	31733
10694545	9.24e-07	0.00e+00	9438	33126
11054538	9.05e-07	0.00e+00	9294	31968
11429448	8.85e-07	0.00e+00	9906	33331
11819439	8.58e-07	0.00e+00	9737	31746
12224337	8.34e-07	0.00e+00	10297	32639
12659223	8.15e-07	0.00e+00	10815	33504
13109206	7.97e-07	0.00e+00	10590	32083
13574076	7.73e-07	0.00e+00	11048	32446
14068931	7.45e-07	0.00e+00	11458	32438
14593769	7.27e-07	0.00e+00	11817	32662
15133735	7.18e-07	0.00e+00	11493	31370
15688548	7.01e-07	0.00e+00	11780	31391
16273338	6.92e-07	0.00e+00	12010	31565
16888103	6.81e-07	0.00e+00	12180	31536
17532837	6.70e-07	0.00e+00	12287	31269
18222315	6.47e-07	0.00e+00	12852	31578
18971694	6.36e-07	0.00e+00	13273	32070
19766239	6.43e-07	0.00e+00	13068	31918
20590711	6.40e-07	0.00e+00	12782	31098
21459742	6.48e-07	0.00e+00	12825	31578
22388549	6.49e-07	0.00e+00	12688	31290
23377056	6.51e-07	0.00e+00	12359	30570
24453984	6.50e-07	0.00e+00	12445	30726
25678115	6.34e-07	0.00e+00	12606	30363
27189299	5.85e-07	0.00e+00	13659	30354
29247781	5.79e-07	0.00e+00	13818	30421
44387928	-8.08e-08	0.00e+00	-98527	30254
