avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
449999	1.38e-03	0.00e+00	77	378213
900000	9.84e-04	0.00e+00	76	265773
1350000	8.34e-04	0.00e+00	75	222289
1800000	7.85e-04	0.00e+00	74	206237
2250000	7.09e-04	0.00e+00	73	183737
2700000	6.09e-04	0.00e+00	72	155869
3150000	5.29e-04	0.00e+00	71	133458
3600000	4.73e-04	0.00e+00	70	117738
4050000	4.31e-04	0.00e+00	69	105657
4500000	4.04e-04	0.00e+00	68	97619
4950000	3.71e-04	0.00e+00	67	88276
5400000	3.45e-04	0.00e+00	66	80872
5850000	3.26e-04	0.00e+00	65	75330
6300000	3.06e-04	0.00e+00	64	69479
6750000	2.89e-04	0.00e+00	63	64576
7200000	2.75e-04	0.00e+00	62	60645
7650000	2.63e-04	0.00e+00	61	56887
8100000	2.55e-04	0.00e+00	60	54255
8550000	2.49e-04	0.00e+00	59	52148
9000000	2.40e-04	0.00e+00	58	49515
9450000	2.32e-04	0.00e+00	57	46925
9900000	2.27e-04	0.00e+00	56	45109
10350000	2.20e-04	0.00e+00	55	43009
10800000	2.13e-04	0.00e+00	54	40918
11250000	2.07e-04	0.00e+00	53	39058
11700000	2.04e-04	0.00e+00	52	37648
12150000	2.04e-04	0.00e+00	51	36975
12600000	2.05e-04	0.00e+00	50	36370
13050000	2.04e-04	0.00e+00	49	35498
13500000	2.02e-04	0.00e+00	48	34379
13950000	1.96e-04	0.00e+00	47	32787
14400000	1.93e-04	0.00e+00	46	31593
14850000	1.90e-04	0.00e+00	45	30409
15300000	1.88e-04	0.00e+00	44	29429
15750000	1.84e-04	0.00e+00	43	28153
16200000	1.80e-04	0.00e+00	42	26852
16649999	1.76e-04	0.00e+00	41	25641
17100000	1.73e-04	0.00e+00	40	24514
17550000	1.72e-04	0.00e+00	39	23823
18000000	1.70e-04	0.00e+00	38	22947
18450000	1.69e-04	0.00e+00	37	22182
18900000	1.67e-04	0.00e+00	36	21372
19350000	1.65e-04	0.00e+00	35	20545
19800000	1.64e-04	0.00e+00	34	19790
20250000	1.63e-04	0.00e+00	33	19154
20700000	1.61e-04	0.00e+00	32	18319
21150000	1.59e-04	0.00e+00	31	17461
21600000	1.54e-04	0.00e+00	30	16396
22050000	1.51e-04	0.00e+00	29	15563
22500000	1.49e-04	0.00e+00	28	14847
22950000	1.46e-04	0.00e+00	27	13971
23400000	1.45e-04	0.00e+00	26	13428
23850000	1.42e-04	0.00e+00	25	12630
24300000	1.39e-04	0.00e+00	24	11825
24750000	1.34e-04	0.00e+00	23	10925
25200000	1.31e-04	0.00e+00	22	10269
25650000	1.32e-04	0.00e+00	21	9829
26100000	1.30e-04	0.00e+00	20	9268
26550000	1.28e-04	0.00e+00	19	8612
27000000	1.24e-04	0.00e+00	18	7959
27450000	1.20e-04	0.00e+00	17	7233
27900000	1.17e-04	0.00e+00	16	6648
28350000	1.17e-04	0.00e+00	15	6212
28800000	1.14e-04	0.00e+00	14	5664
29250000	1.11e-04	0.00e+00	13	5113
29700000	1.09e-04	0.00e+00	12	4649
30150000	1.09e-04	0.00e+00	11	4275
30600000	1.14e-04	0.00e+00	10	4037
31049999	1.12e-04	0.00e+00	9	3595
31500000	1.11e-04	0.00e+00	8	3152
31950000	1.05e-04	0.00e+00	7	2610
32400000	1.00e-04	0.00e+00	6	2132
32850000	8.99e-05	0.00e+00	5	1596
33299999	9.72e-05	0.00e+00	4	1381
33750000	8.37e-05	0.00e+00	3	892
34200000	1.20e-04	0.00e+00	2	850
34650000	2.49e-04	0.00e+00	1	884
0	0.00e+00	0.00e+00	0	886
35550000	-2.67e-04	0.00e+00	-1	950
36000000	-1.45e-04	0.00e+00	-2	1032
36450000	-1.01e-04	0.00e+00	-3	1075
36900000	-7.81e-05	0.00e+00	-4	1110
37350000	-3.92e-05	0.00e+00	-5	697
37800000	-1.45e-05	0.00e+00	-6	309
44010000	-2.24e-07	0.00e+00	-385	306
