avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
59999	4.53e-05	0.00e+00	573	97763
120000	2.91e-05	0.00e+00	572	62683
180000	2.55e-05	0.00e+00	571	54900
239999	2.53e-05	0.00e+00	570	54355
300000	2.50e-05	0.00e+00	569	53553
360000	2.56e-05	0.00e+00	568	54741
420000	2.43e-05	0.00e+00	567	51923
480000	2.30e-05	0.00e+00	566	49000
540000	2.15e-05	0.00e+00	565	45767
600000	2.05e-05	0.00e+00	564	43472
660000	1.97e-05	0.00e+00	563	41854
720000	1.86e-05	0.00e+00	562	39330
780000	1.79e-05	0.00e+00	561	37912
840000	1.80e-05	0.00e+00	560	37860
900000	1.75e-05	0.00e+00	559	36882
960000	1.79e-05	0.00e+00	558	37552
1020000	1.74e-05	0.00e+00	557	36534
1109972	1.65e-05	0.00e+00	1111	69042
1229972	1.52e-05	0.00e+00	1107	63283
1349972	1.52e-05	0.00e+00	1103	63250
1469972	1.54e-05	0.00e+00	1099	63622
1589972	1.43e-05	0.00e+00	1095	59028
1709972	1.35e-05	0.00e+00	1091	55278
1829972	1.31e-05	0.00e+00	1087	53670
1949972	1.29e-05	0.00e+00	1083	52492
2069972	1.30e-05	0.00e+00	1079	52904
2189972	1.20e-05	0.00e+00	1075	48561
2309971	1.17e-05	0.00e+00	1071	47151
2429971	1.13e-05	0.00e+00	1067	45596
2549971	1.11e-05	0.00e+00	1063	44337
2669971	1.04e-05	0.00e+00	1059	41405
2789971	1.02e-05	0.00e+00	1055	40717
2909971	1.00e-05	0.00e+00	1051	39647
3029971	9.54e-06	0.00e+00	1047	37630
3149971	9.18e-06	0.00e+00	1043	36069
3269971	8.79e-06	0.00e+00	1039	34384
3389971	8.58e-06	0.00e+00	1035	33427
3509970	8.53e-06	0.00e+00	1031	33118
3629970	8.12e-06	0.00e+00	1027	31385
3779921	7.80e-06	0.00e+00	1533	45027
3959921	7.55e-06	0.00e+00	1524	43351
4139920	7.34e-06	0.00e+00	1515	41891
4319920	7.16e-06	0.00e+00	1506	40611
4499919	6.99e-06	0.00e+00	1497	39380
4679919	6.64e-06	0.00e+00	1488	37222
4859918	6.48e-06	0.00e+00	1479	36072
5039918	6.27e-06	0.00e+00	1470	34724
5219917	6.13e-06	0.00e+00	1461	33743
5399917	5.98e-06	0.00e+00	1452	32714
5579916	5.82e-06	0.00e+00	1443	31617
5759916	5.76e-06	0.00e+00	1434	31093
5939915	5.54e-06	0.00e+00	1425	29748
6149840	5.37e-06	0.00e+00	1886	38114
6389839	5.22e-06	0.00e+00	1870	36782
6629838	5.04e-06	0.00e+00	1854	35200
6869836	4.92e-06	0.00e+00	1838	34074
7109835	4.79e-06	0.00e+00	1822	32886
7349833	4.70e-06	0.00e+00	1806	31965
7589832	4.62e-06	0.00e+00	1790	31115
7829830	4.54e-06	0.00e+00	1774	30354
8069829	4.47e-06	0.00e+00	1758	29592
8309827	4.40e-06	0.00e+00	1742	28838
8579721	4.31e-06	0.00e+00	2155	34958
8879718	4.24e-06	0.00e+00	2130	33972
9179714	4.16e-06	0.00e+00	2105	33001
9479711	4.10e-06	0.00e+00	2080	32083
9779708	4.01e-06	0.00e+00	2055	31016
10079704	3.92e-06	0.00e+00	2030	29940
10379700	3.80e-06	0.00e+00	2005	28718
10679696	3.71e-06	0.00e+00	1980	27659
11009551	3.64e-06	0.00e+00	2343	32105
11369544	3.56e-06	0.00e+00	2307	30936
11729537	3.47e-06	0.00e+00	2271	29659
12089530	3.37e-06	0.00e+00	2235	28372
12449522	3.30e-06	0.00e+00	2199	27345
12839333	3.24e-06	0.00e+00	2520	30736
13259320	3.18e-06	0.00e+00	2471	29547
13679306	3.07e-06	0.00e+00	2422	27960
14129069	2.98e-06	0.00e+00	2708	30342
14609046	2.91e-06	0.00e+00	2644	28980
15089023	2.88e-06	0.00e+00	2580	28001
15568998	2.82e-06	0.00e+00	2516	26724
16078692	2.78e-06	0.00e+00	2754	28855
16618653	2.74e-06	0.00e+00	2673	27608
17158611	2.71e-06	0.00e+00	2592	26478
17728222	2.65e-06	0.00e+00	2785	27807
18357761	2.57e-06	0.00e+00	2948	28535
19017665	2.54e-06	0.00e+00	2827	27056
19677560	2.57e-06	0.00e+00	2706	26209
20366950	2.55e-06	0.00e+00	2814	27032
21086786	2.58e-06	0.00e+00	2670	25945
21836000	2.59e-06	0.00e+00	2730	26598
22645038	2.59e-06	0.00e+00	2751	26802
23513846	2.59e-06	0.00e+00	2730	26616
24442342	2.58e-06	0.00e+00	2664	25927
25459197	2.53e-06	0.00e+00	2691	25650
26651351	2.39e-06	0.00e+00	2849	25589
28132535	2.23e-06	0.00e+00	2926	24552
30072957	2.35e-06	0.00e+00	2769	24520
44142727	-2.57e-07	0.00e+00	-24552	23734
