avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
390000	9.47e-04	0.00e+00	92	285518
780000	7.13e-04	0.00e+00	91	212635
1170000	6.03e-04	0.00e+00	90	177858
1560000	5.60e-04	0.00e+00	89	163397
1950000	5.26e-04	0.00e+00	88	151744
2340000	5.04e-04	0.00e+00	87	143507
2730000	4.67e-04	0.00e+00	86	131419
3119999	4.22e-04	0.00e+00	85	117486
3510000	3.96e-04	0.00e+00	84	108937
3900000	3.54e-04	0.00e+00	83	96163
4290000	3.22e-04	0.00e+00	82	86409
4680000	2.99e-04	0.00e+00	81	79310
5070000	2.82e-04	0.00e+00	80	73931
5460000	2.63e-04	0.00e+00	79	67968
5850000	2.45e-04	0.00e+00	78	62719
6240000	2.33e-04	0.00e+00	77	58845
6630000	2.25e-04	0.00e+00	76	56078
7020000	2.15e-04	0.00e+00	75	52794
7410000	2.05e-04	0.00e+00	74	49622
7800000	1.95e-04	0.00e+00	73	46643
8189999	1.87e-04	0.00e+00	72	44089
8580000	1.82e-04	0.00e+00	71	42327
8970000	1.77e-04	0.00e+00	70	40499
9360000	1.72e-04	0.00e+00	69	38909
9750000	1.68e-04	0.00e+00	68	37345
10140000	1.62e-04	0.00e+00	67	35602
10530000	1.57e-04	0.00e+00	66	33890
10920000	1.51e-04	0.00e+00	65	32118
11310000	1.46e-04	0.00e+00	64	30551
11700000	1.40e-04	0.00e+00	63	28914
12090000	1.36e-04	0.00e+00	62	27620
12480000	1.33e-04	0.00e+00	61	26602
12870000	1.31e-04	0.00e+00	60	25654
13260000	1.28e-04	0.00e+00	59	24689
13650000	1.27e-04	0.00e+00	58	24055
14040000	1.23e-04	0.00e+00	57	23046
14429999	1.20e-04	0.00e+00	56	22074
14820000	1.18e-04	0.00e+00	55	21231
15210000	1.15e-04	0.00e+00	54	20416
15600000	1.12e-04	0.00e+00	53	19521
15990000	1.11e-04	0.00e+00	52	18829
16379999	1.09e-04	0.00e+00	51	18201
16770000	1.07e-04	0.00e+00	50	17595
17160000	1.06e-04	0.00e+00	49	16938
17550000	1.04e-04	0.00e+00	48	16398
17940000	1.03e-04	0.00e+00	47	15844
18330000	1.02e-04	0.00e+00	46	15321
18720000	1.03e-04	0.00e+00	45	15125
19110000	1.04e-04	0.00e+00	44	14989
19500000	1.04e-04	0.00e+00	43	14599
19890000	1.04e-04	0.00e+00	42	14311
20280000	1.04e-04	0.00e+00	41	13959
20670000	1.04e-04	0.00e+00	40	13599
21060000	1.03e-04	0.00e+00	39	13189
21450000	1.03e-04	0.00e+00	38	12820
21840000	1.02e-04	0.00e+00	37	12347
22230000	1.01e-04	0.00e+00	36	11888
22620000	1.00e-04	0.00e+00	35	11469
23010000	1.01e-04	0.00e+00	34	11199
23400000	1.01e-04	0.00e+00	33	10970
23790000	1.01e-04	0.00e+00	32	10569
24180000	9.96e-05	0.00e+00	31	10118
24570000	9.72e-05	0.00e+00	30	9548
24960000	9.57e-05	0.00e+00	29	9091
25350000	9.41e-05	0.00e+00	28	8634
25739999	9.25e-05	0.00e+00	27	8185
26130000	9.45e-05	0.00e+00	26	8048
26520000	9.62e-05	0.00e+00	25	7874
26910000	9.56e-05	0.00e+00	24	7519
27300000	9.38e-05	0.00e+00	23	7067
27690000	9.22e-05	0.00e+00	22	6644
28080000	9.31e-05	0.00e+00	21	6406
28470000	9.14e-05	0.00e+00	20	5990
28860000	9.15e-05	0.00e+00	19	5694
29250000	9.26e-05	0.00e+00	18	5460
29640000	9.50e-05	0.00e+00	17	5289
30030000	9.54e-05	0.00e+00	16	4998
30420000	9.88e-05	0.00e+00	15	4856
30810000	1.01e-04	0.00e+00	14	4631
31199999	9.99e-05	0.00e+00	13	4255
31590000	9.42e-05	0.00e+00	12	3701
31980000	8.16e-05	0.00e+00	11	2939
32369999	6.99e-05	0.00e+00	10	2291
32759999	6.15e-05	0.00e+00	9	1813
33150000	5.65e-05	0.00e+00	8	1481
33540000	4.85e-05	0.00e+00	7	1112
33930000	4.80e-05	0.00e+00	6	944
34320000	5.48e-05	0.00e+00	5	897
34710000	6.49e-05	0.00e+00	4	851
35100000	8.87e-05	0.00e+00	3	872
35490000	1.40e-04	0.00e+00	2	915
35880000	2.84e-04	0.00e+00	1	930
0	0.00e+00	0.00e+00	0	1078
36660000	-3.34e-04	0.00e+00	-1	1094
37050000	-1.33e-04	0.00e+00	-2	871
37440000	-6.01e-05	0.00e+00	-3	591
37830000	-3.02e-05	0.00e+00	-4	396
38220000	-1.54e-05	0.00e+00	-5	252
44416666	-5.56e-08	0.00e+00	-450	82
