avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
450000	1.31e-03	0.00e+00	78	347305
899999	9.65e-04	0.00e+00	77	252945
1350000	8.46e-04	0.00e+00	76	218787
1800000	7.44e-04	0.00e+00	75	190018
2250000	6.75e-04	0.00e+00	74	170103
2700000	6.15e-04	0.00e+00	73	152972
3150000	5.86e-04	0.00e+00	72	143757
3600000	5.51e-04	0.00e+00	71	133092
4050000	4.86e-04	0.00e+00	70	115921
4500000	4.34e-04	0.00e+00	69	101900
4950000	3.94e-04	0.00e+00	68	91169
5400000	3.65e-04	0.00e+00	67	83183
5850000	3.39e-04	0.00e+00	66	76167
6300000	3.17e-04	0.00e+00	65	70265
6750000	2.99e-04	0.00e+00	64	65086
7200000	2.81e-04	0.00e+00	63	60346
7650000	2.67e-04	0.00e+00	62	56305
8100000	2.51e-04	0.00e+00	61	52181
8550000	2.39e-04	0.00e+00	60	48902
9000000	2.31e-04	0.00e+00	59	46349
9450000	2.23e-04	0.00e+00	58	44071
9900000	2.16e-04	0.00e+00	57	41964
10350000	2.09e-04	0.00e+00	56	39937
10800000	2.02e-04	0.00e+00	55	37851
11250000	1.98e-04	0.00e+00	54	36449
11699999	1.93e-04	0.00e+00	53	34790
12150000	1.85e-04	0.00e+00	52	32674
12600000	1.78e-04	0.00e+00	51	30854
13050000	1.72e-04	0.00e+00	50	29328
13500000	1.69e-04	0.00e+00	49	28265
13949999	1.67e-04	0.00e+00	48	27247
14400000	1.63e-04	0.00e+00	47	26059
14850000	1.61e-04	0.00e+00	46	25183
15300000	1.58e-04	0.00e+00	45	24257
15750000	1.53e-04	0.00e+00	44	22909
16200000	1.50e-04	0.00e+00	43	21918
16649999	1.47e-04	0.00e+00	42	21075
17100000	1.45e-04	0.00e+00	41	20296
17550000	1.43e-04	0.00e+00	40	19452
18000000	1.41e-04	0.00e+00	39	18726
18450000	1.41e-04	0.00e+00	38	18304
18900000	1.43e-04	0.00e+00	37	17997
19350000	1.43e-04	0.00e+00	36	17478
19800000	1.41e-04	0.00e+00	35	16793
20250000	1.39e-04	0.00e+00	34	16143
20700000	1.37e-04	0.00e+00	33	15445
21150000	1.37e-04	0.00e+00	32	14922
21600000	1.36e-04	0.00e+00	31	14363
22050000	1.35e-04	0.00e+00	30	13774
22500000	1.35e-04	0.00e+00	29	13327
22950000	1.36e-04	0.00e+00	28	12951
23400000	1.36e-04	0.00e+00	27	12524
23850000	1.35e-04	0.00e+00	26	11925
24300000	1.33e-04	0.00e+00	25	11359
24750000	1.32e-04	0.00e+00	24	10817
25200000	1.33e-04	0.00e+00	23	10383
25650000	1.31e-04	0.00e+00	22	9846
26100000	1.33e-04	0.00e+00	21	9523
26550000	1.33e-04	0.00e+00	20	9038
27000000	1.31e-04	0.00e+00	19	8497
27450000	1.30e-04	0.00e+00	18	7997
27900000	1.32e-04	0.00e+00	17	7624
28350000	1.31e-04	0.00e+00	16	7129
28800000	1.31e-04	0.00e+00	15	6684
29250000	1.33e-04	0.00e+00	14	6341
29699999	1.36e-04	0.00e+00	13	6036
30149999	1.39e-04	0.00e+00	12	5665
30600000	1.42e-04	0.00e+00	11	5327
31050000	1.39e-04	0.00e+00	10	4737
31500000	1.32e-04	0.00e+00	9	4030
31950000	1.17e-04	0.00e+00	8	3189
32400000	9.91e-05	0.00e+00	7	2361
32850000	8.90e-05	0.00e+00	6	1818
33299999	8.82e-05	0.00e+00	5	1501
33750000	7.31e-05	0.00e+00	4	996
34200000	8.97e-05	0.00e+00	3	916
34650000	1.28e-04	0.00e+00	2	873
35100000	2.59e-04	0.00e+00	1	882
0	0.00e+00	0.00e+00	0	942
36000000	-2.85e-04	0.00e+00	-1	969
36450000	-1.52e-04	0.00e+00	-2	1038
36900000	-1.05e-04	0.00e+00	-3	1072
37350000	-4.91e-05	0.00e+00	-4	669
37800000	-1.93e-05	0.00e+00	-5	328
44072727	-1.54e-07	0.00e+00	-363	190
