avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
270000	5.71e-04	0.00e+00	129	257363
540000	4.38e-04	0.00e+00	128	195799
810000	3.78e-04	0.00e+00	127	167742
1080000	3.47e-04	0.00e+00	126	152508
1350000	3.04e-04	0.00e+00	125	132565
1620000	2.84e-04	0.00e+00	124	123100
1890000	2.68e-04	0.00e+00	123	115037
2160000	2.54e-04	0.00e+00	122	108295
2430000	2.37e-04	0.00e+00	121	100033
2700000	2.21e-04	0.00e+00	120	92623
2970000	2.15e-04	0.00e+00	119	89249
3240000	1.98e-04	0.00e+00	118	81589
3510000	1.78e-04	0.00e+00	117	72650
3780000	1.66e-04	0.00e+00	116	67261
4050000	1.53e-04	0.00e+00	115	61491
4320000	1.44e-04	0.00e+00	114	57464
4590000	1.40e-04	0.00e+00	113	55255
4860000	1.36e-04	0.00e+00	112	53306
5130000	1.35e-04	0.00e+00	111	52168
5400000	1.28e-04	0.00e+00	110	49051
5670000	1.21e-04	0.00e+00	109	46011
5940000	1.16e-04	0.00e+00	108	43794
6210000	1.12e-04	0.00e+00	107	41860
6480000	1.07e-04	0.00e+00	106	39529
6750000	1.02e-04	0.00e+00	105	37435
7020000	9.84e-05	0.00e+00	104	35755
7290000	9.51e-05	0.00e+00	103	34201
7560000	9.32e-05	0.00e+00	102	33204
7830000	9.26e-05	0.00e+00	101	32654
8100000	9.11e-05	0.00e+00	100	31817
8369999	8.92e-05	0.00e+00	99	30858
8640000	8.72e-05	0.00e+00	98	29860
8910000	8.54e-05	0.00e+00	97	28938
9180000	8.36e-05	0.00e+00	96	28029
9450000	8.17e-05	0.00e+00	95	27113
9720000	7.94e-05	0.00e+00	94	26082
9990000	7.71e-05	0.00e+00	93	25037
10260000	7.67e-05	0.00e+00	92	24652
10530000	7.58e-05	0.00e+00	91	24097
10800000	7.43e-05	0.00e+00	90	23350
11070000	7.28e-05	0.00e+00	89	22630
11340000	7.15e-05	0.00e+00	88	21983
11610000	7.07e-05	0.00e+00	87	21489
11880000	6.96e-05	0.00e+00	86	20918
12150000	6.80e-05	0.00e+00	85	20196
12420000	6.67e-05	0.00e+00	84	19584
12690000	6.56e-05	0.00e+00	83	19021
12960000	6.44e-05	0.00e+00	82	18455
13230000	6.37e-05	0.00e+00	81	18021
13500000	6.30e-05	0.00e+00	80	17607
13770000	6.18e-05	0.00e+00	79	17043
14040000	6.08e-05	0.00e+00	78	16563
14310000	5.97e-05	0.00e+00	77	16045
14579999	5.87e-05	0.00e+00	76	15586
14850000	5.77e-05	0.00e+00	75	15126
15120000	5.69e-05	0.00e+00	74	14718
15390000	5.60e-05	0.00e+00	73	14272
15660000	5.51e-05	0.00e+00	72	13855
15930000	5.43e-05	0.00e+00	71	13468
16200000	5.42e-05	0.00e+00	70	13261
16469999	5.33e-05	0.00e+00	69	12842
16739999	5.32e-05	0.00e+00	68	12644
17010000	5.20e-05	0.00e+00	67	12173
17280000	5.16e-05	0.00e+00	66	11894
17550000	5.07e-05	0.00e+00	65	11505
17820000	5.04e-05	0.00e+00	64	11259
18090000	4.95e-05	0.00e+00	63	10901
18360000	4.88e-05	0.00e+00	62	10569
18630000	4.82e-05	0.00e+00	61	10273
18900000	4.81e-05	0.00e+00	60	10088
19303846	4.82e-05	0.00e+00	117	19717
19843805	4.80e-05	0.00e+00	113	18940
20383761	4.75e-05	0.00e+00	109	18070
20923714	4.68e-05	0.00e+00	105	17168
21463663	4.65e-05	0.00e+00	101	16415
22003608	4.67e-05	0.00e+00	97	15807
22543548	4.81e-05	0.00e+00	93	15633
23083483	4.81e-05	0.00e+00	89	14954
23623411	4.97e-05	0.00e+00	85	14748
24030000	5.09e-05	0.00e+00	41	7284
24433291	5.02e-05	0.00e+00	79	13860
24973200	5.03e-05	0.00e+00	75	13175
25513098	5.01e-05	0.00e+00	71	12430
26052985	4.97e-05	0.00e+00	67	11631
26592857	4.78e-05	0.00e+00	63	10521
27132711	4.63e-05	0.00e+00	59	9544
27672545	4.84e-05	0.00e+00	55	9294
28212352	4.70e-05	0.00e+00	51	8381
28752127	4.84e-05	0.00e+00	47	7940
29291860	4.91e-05	0.00e+00	43	7378
29831538	4.88e-05	0.00e+00	39	6644
30371142	4.87e-05	0.00e+00	35	5956
30910645	4.67e-05	0.00e+00	31	5055
31450000	4.38e-05	0.00e+00	27	4129
31989130	4.03e-05	0.00e+00	23	3234
32650000	3.44e-05	0.00e+00	27	3248
33553636	3.18e-05	0.00e+00	22	2440
34290000	1.34e-04	0.00e+00	5	2346
36315000	-3.78e-05	0.00e+00	-20	2640
43967454	-3.79e-07	0.00e+00	-1155	1529
