avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
210000	3.40e-04	0.00e+00	168	211397
420000	2.93e-04	0.00e+00	167	181046
630000	2.50e-04	0.00e+00	166	153357
840000	2.29e-04	0.00e+00	165	139625
1050000	2.07e-04	0.00e+00	164	125648
1260000	1.93e-04	0.00e+00	163	116637
1470000	1.81e-04	0.00e+00	162	108599
1680000	1.79e-04	0.00e+00	161	106608
1890000	1.62e-04	0.00e+00	160	95847
2100000	1.54e-04	0.00e+00	159	90455
2310000	1.44e-04	0.00e+00	158	84381
2520000	1.35e-04	0.00e+00	157	78362
2730000	1.28e-04	0.00e+00	156	73945
2940000	1.19e-04	0.00e+00	155	68348
3150000	1.12e-04	0.00e+00	154	63674
3359999	1.07e-04	0.00e+00	153	60732
3570000	1.03e-04	0.00e+00	152	57627
3780000	9.81e-05	0.00e+00	151	54790
3990000	9.28e-05	0.00e+00	150	51472
4200000	8.79e-05	0.00e+00	149	48447
4410000	8.45e-05	0.00e+00	148	46223
4620000	8.18e-05	0.00e+00	147	44472
4830000	8.01e-05	0.00e+00	146	43255
5040000	7.67e-05	0.00e+00	145	41104
5250000	7.40e-05	0.00e+00	144	39432
5460000	7.15e-05	0.00e+00	143	37790
5670000	6.95e-05	0.00e+00	142	36477
5880000	6.80e-05	0.00e+00	141	35473
6090000	6.63e-05	0.00e+00	140	34305
6300000	6.40e-05	0.00e+00	139	32890
6510000	6.17e-05	0.00e+00	138	31476
6720000	5.92e-05	0.00e+00	137	30001
6930000	5.75e-05	0.00e+00	136	28928
7140000	5.57e-05	0.00e+00	135	27809
7350000	5.45e-05	0.00e+00	134	26987
7560000	5.31e-05	0.00e+00	133	26111
7769999	5.19e-05	0.00e+00	132	25336
7980000	5.08e-05	0.00e+00	131	24615
8189999	4.97e-05	0.00e+00	130	23901
8400000	4.86e-05	0.00e+00	129	23170
8610000	4.81e-05	0.00e+00	128	22780
8820000	4.74e-05	0.00e+00	127	22245
9030000	4.66e-05	0.00e+00	126	21735
9240000	4.57e-05	0.00e+00	125	21146
9450000	4.47e-05	0.00e+00	124	20517
9660000	4.42e-05	0.00e+00	123	20112
9870000	4.35e-05	0.00e+00	122	19639
10080000	4.27e-05	0.00e+00	121	19119
10290000	4.23e-05	0.00e+00	120	18760
10500000	4.15e-05	0.00e+00	119	18247
10710000	4.08e-05	0.00e+00	118	17817
10920000	4.01e-05	0.00e+00	117	17358
11234545	3.96e-05	0.00e+00	231	33825
11654537	3.86e-05	0.00e+00	227	32427
12074529	3.79e-05	0.00e+00	223	31225
12494520	3.74e-05	0.00e+00	219	30278
12914511	3.70e-05	0.00e+00	215	29442
13334502	3.67e-05	0.00e+00	211	28619
13754492	3.64e-05	0.00e+00	207	27886
14174482	3.60e-05	0.00e+00	203	26997
14594472	3.54e-05	0.00e+00	199	26085
15014461	3.51e-05	0.00e+00	195	25309
15434450	3.45e-05	0.00e+00	191	24360
15854438	3.40e-05	0.00e+00	187	23524
16274426	3.35e-05	0.00e+00	183	22694
16694413	3.35e-05	0.00e+00	179	22200
17114400	3.35e-05	0.00e+00	175	21699
17534385	3.32e-05	0.00e+00	171	20977
17954371	3.31e-05	0.00e+00	167	20413
18374355	3.30e-05	0.00e+00	163	19867
18794339	3.29e-05	0.00e+00	159	19337
19214322	3.30e-05	0.00e+00	155	18911
19634304	3.30e-05	0.00e+00	151	18431
20054285	3.31e-05	0.00e+00	147	18002
20474265	3.29e-05	0.00e+00	143	17417
20894244	3.25e-05	0.00e+00	139	16709
21314222	3.22e-05	0.00e+00	135	16070
21734198	3.16e-05	0.00e+00	131	15314
22154173	3.11e-05	0.00e+00	127	14618
22574146	3.08e-05	0.00e+00	123	14014
22994117	3.07e-05	0.00e+00	119	13513
23414086	3.08e-05	0.00e+00	115	13100
23834054	3.06e-05	0.00e+00	111	12580
24254018	3.06e-05	0.00e+00	107	12093
24673980	3.02e-05	0.00e+00	103	11500
25093939	2.99e-05	0.00e+00	99	10956
25513894	2.94e-05	0.00e+00	95	10340
25933846	2.89e-05	0.00e+00	91	9730
26353793	2.82e-05	0.00e+00	87	9061
26773734	2.72e-05	0.00e+00	83	8338
27296410	2.64e-05	0.00e+00	117	11434
27926111	2.56e-05	0.00e+00	108	10239
28555757	2.56e-05	0.00e+00	99	9356
29185333	2.52e-05	0.00e+00	90	8387
29814814	2.49e-05	0.00e+00	81	7463
30543829	2.39e-05	0.00e+00	94	8320
31381538	2.20e-05	0.00e+00	78	6342
32490000	1.87e-05	0.00e+00	98	6780
34020000	3.04e-05	0.00e+00	55	6173
43960000	-8.07e-07	0.00e+00	-1830	5459
