avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
30000	1.90e-05	0.00e+00	1142	83798
60000	1.12e-05	0.00e+00	1141	49253
90000	8.82e-06	0.00e+00	1140	38745
134993	7.08e-06	0.00e+00	2277	62167
194993	6.27e-06	0.00e+00	2273	54914
254993	5.99e-06	0.00e+00	2269	52353
314993	6.03e-06	0.00e+00	2265	52607
374993	6.12e-06	0.00e+00	2261	53304
434993	6.26e-06	0.00e+00	2257	54477
494993	5.70e-06	0.00e+00	2253	49474
554993	5.19e-06	0.00e+00	2249	44976
614993	5.07e-06	0.00e+00	2245	43878
674993	4.90e-06	0.00e+00	2241	42351
734993	4.80e-06	0.00e+00	2237	41409
794993	4.72e-06	0.00e+00	2233	40631
854993	4.63e-06	0.00e+00	2229	39766
914993	4.47e-06	0.00e+00	2225	38330
974993	4.34e-06	0.00e+00	2221	37141
1049981	4.11e-06	0.00e+00	3324	52602
1139981	4.09e-06	0.00e+00	3315	52267
1229981	3.92e-06	0.00e+00	3306	49990
1319981	3.85e-06	0.00e+00	3297	48949
1409981	3.72e-06	0.00e+00	3288	47133
1499981	3.66e-06	0.00e+00	3279	46254
1589981	3.70e-06	0.00e+00	3270	46628
1679981	3.67e-06	0.00e+00	3261	46072
1769981	3.55e-06	0.00e+00	3252	44445
1859981	3.35e-06	0.00e+00	3243	41853
1949981	3.15e-06	0.00e+00	3234	39318
2039981	3.13e-06	0.00e+00	3225	38913
2129981	3.10e-06	0.00e+00	3216	38415
2219981	3.05e-06	0.00e+00	3207	37755
2309981	2.94e-06	0.00e+00	3198	36243
2399981	2.80e-06	0.00e+00	3189	34461
2504964	2.76e-06	0.00e+00	4238	45147
2624964	2.73e-06	0.00e+00	4222	44373
2744964	2.59e-06	0.00e+00	4206	41910
2864964	2.47e-06	0.00e+00	4190	39946
2984964	2.38e-06	0.00e+00	4174	38335
3104963	2.29e-06	0.00e+00	4158	36714
3224963	2.25e-06	0.00e+00	4142	35972
3344963	2.19e-06	0.00e+00	4126	34892
3464963	2.13e-06	0.00e+00	4110	33745
3599941	2.06e-06	0.00e+00	5115	40710
3749941	2.01e-06	0.00e+00	5090	39518
3899940	1.94e-06	0.00e+00	5065	37887
4049940	1.84e-06	0.00e+00	5040	35832
4199940	1.79e-06	0.00e+00	5015	34567
4349939	1.74e-06	0.00e+00	4990	33472
4514911	1.69e-06	0.00e+00	5955	38748
4694911	1.66e-06	0.00e+00	5919	37769
4874910	1.62e-06	0.00e+00	5883	36769
5054910	1.56e-06	0.00e+00	5847	35120
5234909	1.51e-06	0.00e+00	5811	33890
5429875	1.46e-06	0.00e+00	6734	38004
5639874	1.42e-06	0.00e+00	6685	36594
5849873	1.39e-06	0.00e+00	6636	35644
6059872	1.36e-06	0.00e+00	6587	34459
6269871	1.32e-06	0.00e+00	6538	33169
6494830	1.26e-06	0.00e+00	7412	36089
6734828	1.21e-06	0.00e+00	7348	34178
6974827	1.17e-06	0.00e+00	7284	32803
7229778	1.13e-06	0.00e+00	8118	35290
7499776	1.09e-06	0.00e+00	8037	33867
7769773	1.06e-06	0.00e+00	7956	32577
8054716	1.03e-06	0.00e+00	8745	34805
8354713	1.00e-06	0.00e+00	8645	33327
8654710	9.82e-07	0.00e+00	8545	32352
8969644	9.62e-07	0.00e+00	9284	34416
9299639	9.32e-07	0.00e+00	9163	32906
9644564	9.09e-07	0.00e+00	9858	34520
10004558	8.84e-07	0.00e+00	9714	33086
10379473	8.61e-07	0.00e+00	10361	34395
10769464	8.37e-07	0.00e+00	10192	32877
11174367	8.17e-07	0.00e+00	10787	33979
11594355	7.99e-07	0.00e+00	10591	32630
12029245	7.83e-07	0.00e+00	11130	33574
12479229	7.72e-07	0.00e+00	10905	32459
12944104	7.66e-07	0.00e+00	11384	33597
13424083	7.59e-07	0.00e+00	11128	32573
13918939	7.51e-07	0.00e+00	11543	33408
14428912	7.41e-07	0.00e+00	11254	32129
14953747	7.31e-07	0.00e+00	11601	32663
15508562	7.17e-07	0.00e+00	11894	32850
16093355	7.04e-07	0.00e+00	12130	32890
16693299	7.02e-07	0.00e+00	11730	31738
17308056	7.00e-07	0.00e+00	11886	32049
17952782	6.95e-07	0.00e+00	11979	32070
18627471	6.93e-07	0.00e+00	12006	32086
19332116	6.98e-07	0.00e+00	11964	32186
20066708	7.02e-07	0.00e+00	11850	32064
20831237	6.96e-07	0.00e+00	11661	31264
21640355	6.81e-07	0.00e+00	11802	30957
22523877	6.66e-07	0.00e+00	12152	31172
23496968	6.70e-07	0.00e+00	12223	31543
24559444	6.67e-07	0.00e+00	11988	30810
25753732	6.50e-07	0.00e+00	12212	30598
27221577	6.09e-07	0.00e+00	13132	30834
29161785	6.10e-07	0.00e+00	12936	30413
44513293	-8.01e-08	0.00e+00	-97645	30155
