avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
300000	6.80e-04	0.00e+00	116	274862
600000	4.95e-04	0.00e+00	115	198596
900000	4.28e-04	0.00e+00	114	170133
1200000	3.78e-04	0.00e+00	113	148997
1500000	3.51e-04	0.00e+00	112	137175
1800000	3.31e-04	0.00e+00	111	128144
2100000	3.09e-04	0.00e+00	110	118419
2399999	2.89e-04	0.00e+00	109	109752
2700000	2.72e-04	0.00e+00	108	102561
3000000	2.61e-04	0.00e+00	107	97464
3299999	2.57e-04	0.00e+00	106	94923
3600000	2.41e-04	0.00e+00	105	88123
3899999	2.21e-04	0.00e+00	104	80158
4200000	2.04e-04	0.00e+00	103	73197
4500000	1.90e-04	0.00e+00	102	67584
4800000	1.80e-04	0.00e+00	101	63262
5100000	1.70e-04	0.00e+00	100	59426
5400000	1.62e-04	0.00e+00	99	55781
5700000	1.54e-04	0.00e+00	98	52575
6000000	1.46e-04	0.00e+00	97	49351
6300000	1.39e-04	0.00e+00	96	46664
6600000	1.34e-04	0.00e+00	95	44342
6900000	1.29e-04	0.00e+00	94	42312
7200000	1.24e-04	0.00e+00	93	40237
7500000	1.20e-04	0.00e+00	92	38363
7800000	1.16e-04	0.00e+00	91	36714
8100000	1.11e-04	0.00e+00	90	34770
8400000	1.07e-04	0.00e+00	89	33210
8700000	1.04e-04	0.00e+00	88	32029
9000000	1.02e-04	0.00e+00	87	30965
9300000	9.98e-05	0.00e+00	86	29912
9600000	9.78e-05	0.00e+00	85	28969
9900000	9.56e-05	0.00e+00	84	27997
10200000	9.34e-05	0.00e+00	83	27025
10500000	9.14e-05	0.00e+00	82	26120
10800000	8.94e-05	0.00e+00	81	25251
11100000	8.80e-05	0.00e+00	80	24541
11400000	8.69e-05	0.00e+00	79	23923
11700000	8.54e-05	0.00e+00	78	23229
12000000	8.30e-05	0.00e+00	77	22268
12300000	8.05e-05	0.00e+00	76	21326
12600000	7.86e-05	0.00e+00	75	20561
12900000	7.71e-05	0.00e+00	74	19896
13200000	7.59e-05	0.00e+00	73	19323
13500000	7.52e-05	0.00e+00	72	18885
13800000	7.44e-05	0.00e+00	71	18405
14100000	7.32e-05	0.00e+00	70	17865
14400000	7.25e-05	0.00e+00	69	17428
14700000	7.15e-05	0.00e+00	68	16946
15000000	7.10e-05	0.00e+00	67	16571
15300000	7.02e-05	0.00e+00	66	16151
15600000	6.87e-05	0.00e+00	65	15560
15900000	6.74e-05	0.00e+00	64	15046
16200000	6.65e-05	0.00e+00	63	14612
16500000	6.59e-05	0.00e+00	62	14251
16800000	6.51e-05	0.00e+00	61	13852
17100000	6.46e-05	0.00e+00	60	13516
17400000	6.39e-05	0.00e+00	59	13146
17700000	6.32e-05	0.00e+00	58	12785
18000000	6.27e-05	0.00e+00	57	12451
18300000	6.29e-05	0.00e+00	56	12282
18600000	6.33e-05	0.00e+00	55	12136
18900000	6.40e-05	0.00e+00	54	12049
19200000	6.39e-05	0.00e+00	53	11805
19500000	6.33e-05	0.00e+00	52	11481
19800000	6.29e-05	0.00e+00	51	11178
20100000	6.24e-05	0.00e+00	50	10881
20400000	6.21e-05	0.00e+00	49	10612
20700000	6.16e-05	0.00e+00	48	10313
21000000	6.14e-05	0.00e+00	47	10054
21300000	6.12e-05	0.00e+00	46	9809
21600000	6.10e-05	0.00e+00	45	9574
21900000	6.06e-05	0.00e+00	44	9287
22200000	6.06e-05	0.00e+00	43	9081
22500000	6.09e-05	0.00e+00	42	8909
22800000	6.09e-05	0.00e+00	41	8703
23100000	6.14e-05	0.00e+00	40	8565
23400000	6.15e-05	0.00e+00	39	8362
23700000	6.12e-05	0.00e+00	38	8100
24000000	6.06e-05	0.00e+00	37	7811
24300000	6.01e-05	0.00e+00	36	7541
24600000	6.02e-05	0.00e+00	35	7340
25047761	6.01e-05	0.00e+00	67	14034
25647619	5.99e-05	0.00e+00	63	13158
26247457	6.06e-05	0.00e+00	59	12468
26847272	6.06e-05	0.00e+00	55	11619
27447058	5.98e-05	0.00e+00	51	10634
28046808	6.10e-05	0.00e+00	47	9987
28646511	6.03e-05	0.00e+00	43	9037
29246153	6.25e-05	0.00e+00	39	8491
29845714	6.45e-05	0.00e+00	35	7870
30445161	6.75e-05	0.00e+00	31	7295
31044444	6.69e-05	0.00e+00	27	6294
31643478	6.23e-05	0.00e+00	23	4994
32242105	5.25e-05	0.00e+00	19	3480
32971428	4.77e-05	0.00e+00	21	3492
33942857	5.38e-05	0.00e+00	14	2624
36000000	-3.49e-04	0.00e+00	-2	2431
36533333	-4.37e-05	0.00e+00	-18	2743
43968000	-4.19e-07	0.00e+00	-925	1350
