avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
210000	3.83e-04	0.00e+00	164	221962
420000	2.86e-04	0.00e+00	163	164648
630000	2.46e-04	0.00e+00	162	140693
840000	2.29e-04	0.00e+00	161	130196
1050000	2.14e-04	0.00e+00	160	120901
1260000	1.89e-04	0.00e+00	159	106188
1470000	1.80e-04	0.00e+00	158	100429
1680000	1.67e-04	0.00e+00	157	92798
1890000	1.63e-04	0.00e+00	156	89766
2100000	1.58e-04	0.00e+00	155	86508
2310000	1.49e-04	0.00e+00	154	80854
2520000	1.39e-04	0.00e+00	153	75035
2730000	1.36e-04	0.00e+00	152	72956
2940000	1.29e-04	0.00e+00	151	68764
3150000	1.23e-04	0.00e+00	150	65242
3360000	1.16e-04	0.00e+00	149	60754
3570000	1.06e-04	0.00e+00	148	55335
3780000	1.01e-04	0.00e+00	147	52480
3990000	9.47e-05	0.00e+00	146	48813
4200000	8.99e-05	0.00e+00	145	46029
4410000	8.65e-05	0.00e+00	144	43982
4620000	8.52e-05	0.00e+00	143	43024
4830000	8.25e-05	0.00e+00	142	41373
5040000	8.25e-05	0.00e+00	141	41066
5250000	7.95e-05	0.00e+00	140	39311
5460000	7.67e-05	0.00e+00	139	37622
5670000	7.37e-05	0.00e+00	138	35888
5880000	7.12e-05	0.00e+00	137	34454
6090000	6.93e-05	0.00e+00	136	33277
6300000	6.69e-05	0.00e+00	135	31877
6510000	6.47e-05	0.00e+00	134	30616
6720000	6.23e-05	0.00e+00	133	29256
6930000	6.06e-05	0.00e+00	132	28238
7140000	5.87e-05	0.00e+00	131	27162
7350000	5.76e-05	0.00e+00	130	26438
7560000	5.68e-05	0.00e+00	129	25844
7770000	5.63e-05	0.00e+00	128	25443
7980000	5.59e-05	0.00e+00	127	25070
8189999	5.50e-05	0.00e+00	126	24469
8400000	5.42e-05	0.00e+00	125	23937
8610000	5.32e-05	0.00e+00	124	23283
8820000	5.24e-05	0.00e+00	123	22745
9030000	5.15e-05	0.00e+00	122	22173
9240000	5.07e-05	0.00e+00	121	21672
9450000	4.97e-05	0.00e+00	120	21066
9660000	4.88e-05	0.00e+00	119	20506
9870000	4.75e-05	0.00e+00	118	19802
10079999	4.68e-05	0.00e+00	117	19333
10290000	4.67e-05	0.00e+00	116	19118
10500000	4.63e-05	0.00e+00	115	18780
10710000	4.57e-05	0.00e+00	114	18405
10920000	4.48e-05	0.00e+00	113	17889
11130000	4.43e-05	0.00e+00	112	17497
11340000	4.37e-05	0.00e+00	111	17106
11550000	4.34e-05	0.00e+00	110	16853
11760000	4.29e-05	0.00e+00	109	16492
11970000	4.22e-05	0.00e+00	108	16075
12284507	4.11e-05	0.00e+00	213	30923
12704497	4.00e-05	0.00e+00	209	29495
13124487	3.91e-05	0.00e+00	205	28271
13544477	3.84e-05	0.00e+00	201	27278
13964467	3.73e-05	0.00e+00	197	25950
14384455	3.63e-05	0.00e+00	193	24764
14804444	3.55e-05	0.00e+00	189	23653
15224432	3.47e-05	0.00e+00	185	22643
15644419	3.38e-05	0.00e+00	181	21600
16064406	3.32e-05	0.00e+00	177	20736
16484393	3.28e-05	0.00e+00	173	20040
16904378	3.22e-05	0.00e+00	169	19232
17324363	3.16e-05	0.00e+00	165	18397
17744347	3.09e-05	0.00e+00	161	17573
18164331	3.04e-05	0.00e+00	157	16846
18584313	2.98e-05	0.00e+00	153	16073
19004295	2.96e-05	0.00e+00	149	15592
19424275	2.97e-05	0.00e+00	145	15216
19844255	2.96e-05	0.00e+00	141	14744
20264233	2.94e-05	0.00e+00	137	14205
20684210	2.90e-05	0.00e+00	133	13626
21104186	2.89e-05	0.00e+00	129	13162
21524160	2.88e-05	0.00e+00	125	12695
21944132	2.89e-05	0.00e+00	121	12339
22364102	2.96e-05	0.00e+00	117	12214
22784070	3.00e-05	0.00e+00	113	11959
23204036	3.01e-05	0.00e+00	109	11564
23624000	3.09e-05	0.00e+00	105	11469
24043960	3.17e-05	0.00e+00	101	11300
24463917	3.13e-05	0.00e+00	97	10730
24883870	3.15e-05	0.00e+00	93	10333
25303820	3.16e-05	0.00e+00	89	9919
25826666	3.13e-05	0.00e+00	126	13929
26456410	3.06e-05	0.00e+00	117	12651
27086111	2.94e-05	0.00e+00	108	11218
27715757	3.07e-05	0.00e+00	99	10720
28345333	3.04e-05	0.00e+00	90	9668
28974814	3.15e-05	0.00e+00	81	9005
29703829	3.19e-05	0.00e+00	94	10570
30541538	3.20e-05	0.00e+00	78	8806
31472000	3.00e-05	0.00e+00	75	7940
32843999	2.61e-05	0.00e+00	75	6906
43693548	-8.95e-07	0.00e+00	-2077	6565
