avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
360000	9.24e-04	0.00e+00	97	319309
720000	6.81e-04	0.00e+00	96	232969
1080000	5.69e-04	0.00e+00	95	192453
1440000	5.23e-04	0.00e+00	94	175033
1800000	4.74e-04	0.00e+00	93	157215
2160000	4.48e-04	0.00e+00	92	146699
2520000	4.02e-04	0.00e+00	91	130494
2880000	3.60e-04	0.00e+00	90	115384
3240000	3.27e-04	0.00e+00	89	103826
3600000	2.97e-04	0.00e+00	88	93210
3960000	2.77e-04	0.00e+00	87	85934
4320000	2.63e-04	0.00e+00	86	80707
4680000	2.51e-04	0.00e+00	85	75924
5040000	2.40e-04	0.00e+00	84	71719
5400000	2.24e-04	0.00e+00	83	66251
5760000	2.15e-04	0.00e+00	82	62672
6120000	2.04e-04	0.00e+00	81	58869
6480000	1.92e-04	0.00e+00	80	54748
6840000	1.84e-04	0.00e+00	79	51671
7200000	1.75e-04	0.00e+00	78	48708
7560000	1.67e-04	0.00e+00	77	45680
7919999	1.60e-04	0.00e+00	76	43308
8279999	1.55e-04	0.00e+00	75	41536
8640000	1.52e-04	0.00e+00	74	40052
9000000	1.49e-04	0.00e+00	73	38711
9360000	1.46e-04	0.00e+00	72	37382
9720000	1.42e-04	0.00e+00	71	36033
10080000	1.40e-04	0.00e+00	70	35032
10440000	1.38e-04	0.00e+00	69	33866
10800000	1.33e-04	0.00e+00	68	32263
11160000	1.28e-04	0.00e+00	67	30654
11520000	1.25e-04	0.00e+00	66	29502
11880000	1.24e-04	0.00e+00	65	28653
12240000	1.24e-04	0.00e+00	64	28254
12600000	1.24e-04	0.00e+00	63	27723
12960000	1.22e-04	0.00e+00	62	27031
13320000	1.22e-04	0.00e+00	61	26427
13680000	1.19e-04	0.00e+00	60	25384
14040000	1.16e-04	0.00e+00	59	24447
14400000	1.15e-04	0.00e+00	58	23856
14759999	1.15e-04	0.00e+00	57	23301
15120000	1.14e-04	0.00e+00	56	22817
15480000	1.14e-04	0.00e+00	55	22315
15840000	1.13e-04	0.00e+00	54	21664
16200000	1.11e-04	0.00e+00	53	20959
16559999	1.10e-04	0.00e+00	52	20354
16920000	1.08e-04	0.00e+00	51	19614
17280000	1.07e-04	0.00e+00	50	19113
17640000	1.07e-04	0.00e+00	49	18614
18000000	1.06e-04	0.00e+00	48	18187
18360000	1.06e-04	0.00e+00	47	17704
18720000	1.06e-04	0.00e+00	46	17334
19080000	1.06e-04	0.00e+00	45	16979
19440000	1.05e-04	0.00e+00	44	16467
19800000	1.05e-04	0.00e+00	43	16133
20160000	1.05e-04	0.00e+00	42	15780
20520000	1.04e-04	0.00e+00	41	15236
20880000	1.04e-04	0.00e+00	40	14836
21240000	1.04e-04	0.00e+00	39	14442
21600000	1.02e-04	0.00e+00	38	13833
21960000	1.02e-04	0.00e+00	37	13459
22320000	1.02e-04	0.00e+00	36	13039
22680000	1.00e-04	0.00e+00	35	12476
23040000	9.88e-05	0.00e+00	34	11965
23400000	9.92e-05	0.00e+00	33	11659
23760000	9.77e-05	0.00e+00	32	11144
24120000	9.64e-05	0.00e+00	31	10651
24480000	9.40e-05	0.00e+00	30	10047
24840000	9.12e-05	0.00e+00	29	9424
25200000	8.82e-05	0.00e+00	28	8803
25560000	8.66e-05	0.00e+00	27	8328
25920000	8.65e-05	0.00e+00	26	8010
26280000	8.44e-05	0.00e+00	25	7520
26640000	8.18e-05	0.00e+00	24	6996
27000000	7.96e-05	0.00e+00	23	6526
27360000	7.72e-05	0.00e+00	22	6053
27720000	7.41e-05	0.00e+00	21	5546
28079999	7.29e-05	0.00e+00	20	5197
28440000	7.29e-05	0.00e+00	19	4934
28799999	7.09e-05	0.00e+00	18	4548
29160000	6.88e-05	0.00e+00	17	4166
29520000	6.83e-05	0.00e+00	16	3894
29880000	6.73e-05	0.00e+00	15	3598
30240000	6.81e-05	0.00e+00	14	3399
30600000	6.95e-05	0.00e+00	13	3218
30959999	6.87e-05	0.00e+00	12	2936
31319999	6.69e-05	0.00e+00	11	2622
31680000	6.48e-05	0.00e+00	10	2310
32040000	6.13e-05	0.00e+00	9	1964
32400000	5.69e-05	0.00e+00	8	1621
32759999	5.33e-05	0.00e+00	7	1330
33119999	5.58e-05	0.00e+00	6	1193
33640000	5.23e-05	0.00e+00	9	1676
34344000	7.88e-05	0.00e+00	5	1404
34920000	3.91e-04	0.00e+00	1	1393
35880000	-1.29e-04	0.00e+00	-3	1376
36565714	-6.19e-05	0.00e+00	-7	1544
37080000	-3.85e-05	0.00e+00	-5	686
37633846	-1.24e-05	0.00e+00	-13	575
44112558	-1.36e-07	0.00e+00	-602	292
