avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
150000	1.99e-04	0.00e+00	228	166844
300000	1.56e-04	0.00e+00	227	130573
450000	1.57e-04	0.00e+00	226	130260
600000	1.27e-04	0.00e+00	225	105375
750000	1.13e-04	0.00e+00	224	92872
900000	1.08e-04	0.00e+00	223	88211
1050000	9.81e-05	0.00e+00	222	80172
1200000	9.46e-05	0.00e+00	221	76928
1350000	8.98e-05	0.00e+00	220	72700
1500000	9.00e-05	0.00e+00	219	72539
1650000	8.63e-05	0.00e+00	218	69256
1800000	8.25e-05	0.00e+00	217	65889
1950000	8.20e-05	0.00e+00	216	65165
2100000	7.78e-05	0.00e+00	215	61531
2250000	7.38e-05	0.00e+00	214	58111
2400000	7.21e-05	0.00e+00	213	56491
2549999	6.85e-05	0.00e+00	212	53451
2700000	6.64e-05	0.00e+00	211	51550
2850000	6.26e-05	0.00e+00	210	48405
3000000	5.97e-05	0.00e+00	209	45949
3149999	5.81e-05	0.00e+00	208	44455
3299999	5.53e-05	0.00e+00	207	42148
3450000	5.28e-05	0.00e+00	206	40014
3600000	5.12e-05	0.00e+00	205	38643
3750000	4.97e-05	0.00e+00	204	37325
3899999	4.86e-05	0.00e+00	203	36324
4050000	4.75e-05	0.00e+00	202	35284
4200000	4.63e-05	0.00e+00	201	34229
4350000	4.53e-05	0.00e+00	200	33359
4500000	4.44e-05	0.00e+00	199	32516
4650000	4.35e-05	0.00e+00	198	31663
4800000	4.28e-05	0.00e+00	197	31020
4950000	4.22e-05	0.00e+00	196	30434
5100000	4.12e-05	0.00e+00	195	29536
5250000	3.99e-05	0.00e+00	194	28466
5400000	3.89e-05	0.00e+00	193	27607
5550000	3.79e-05	0.00e+00	192	26769
5700000	3.76e-05	0.00e+00	191	26407
5850000	3.68e-05	0.00e+00	190	25735
6000000	3.61e-05	0.00e+00	189	25130
6150000	3.52e-05	0.00e+00	188	24356
6374798	3.40e-05	0.00e+00	373	46605
6674796	3.24e-05	0.00e+00	369	44043
6974794	3.14e-05	0.00e+00	365	42142
7274792	3.02e-05	0.00e+00	361	40058
7574789	2.89e-05	0.00e+00	357	38002
7874787	2.80e-05	0.00e+00	353	36322
8174785	2.72e-05	0.00e+00	349	34988
8474782	2.67e-05	0.00e+00	345	33875
8774780	2.62e-05	0.00e+00	341	32936
9074777	2.58e-05	0.00e+00	337	32048
9374774	2.53e-05	0.00e+00	333	31000
9674772	2.49e-05	0.00e+00	329	30188
9974769	2.47e-05	0.00e+00	325	29486
10274766	2.43e-05	0.00e+00	321	28705
10574763	2.38e-05	0.00e+00	317	27730
10874760	2.31e-05	0.00e+00	313	26627
11174757	2.24e-05	0.00e+00	309	25483
11474754	2.21e-05	0.00e+00	305	24763
11774750	2.17e-05	0.00e+00	301	23989
12074747	2.16e-05	0.00e+00	297	23657
12374744	2.17e-05	0.00e+00	293	23389
12674740	2.17e-05	0.00e+00	289	23050
12974736	2.14e-05	0.00e+00	285	22460
13274733	2.13e-05	0.00e+00	281	22052
13574729	2.10e-05	0.00e+00	277	21424
13874725	2.06e-05	0.00e+00	273	20726
14174721	2.03e-05	0.00e+00	269	20123
14474716	2.03e-05	0.00e+00	265	19839
14774712	2.02e-05	0.00e+00	261	19413
15074708	2.02e-05	0.00e+00	257	19082
15374703	2.01e-05	0.00e+00	253	18682
15749193	1.99e-05	0.00e+00	372	27296
16199173	1.96e-05	0.00e+00	363	26236
16649152	1.93e-05	0.00e+00	354	25187
17099130	1.91e-05	0.00e+00	345	24218
17549107	1.89e-05	0.00e+00	336	23390
17999082	1.89e-05	0.00e+00	327	22712
18449056	1.88e-05	0.00e+00	318	22047
18899029	1.88e-05	0.00e+00	309	21422
19349000	1.88e-05	0.00e+00	300	20742
19798969	1.88e-05	0.00e+00	291	20152
20248936	1.88e-05	0.00e+00	282	19557
20698901	1.88e-05	0.00e+00	273	18838
21148863	1.87e-05	0.00e+00	264	18142
21598823	1.85e-05	0.00e+00	255	17329
22048780	1.85e-05	0.00e+00	246	16709
22498734	1.83e-05	0.00e+00	237	15960
23022516	1.80e-05	0.00e+00	302	20000
23622377	1.80e-05	0.00e+00	286	18922
24222222	1.76e-05	0.00e+00	270	17488
24822047	1.68e-05	0.00e+00	254	15730
25421848	1.62e-05	0.00e+00	238	14184
26094545	1.59e-05	0.00e+00	275	16134
26844000	1.52e-05	0.00e+00	250	14023
27665168	1.43e-05	0.00e+00	267	14095
28634210	1.40e-05	0.00e+00	266	13690
29816666	1.38e-05	0.00e+00	270	13728
31333333	1.46e-05	0.00e+00	234	12597
43733333	-8.31e-07	0.00e+00	-4095	12525
