avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
240000	4.83e-04	0.00e+00	145	257753
480000	3.68e-04	0.00e+00	144	195145
720000	2.98e-04	0.00e+00	143	157100
960000	2.66e-04	0.00e+00	142	139166
1200000	2.36e-04	0.00e+00	141	122717
1440000	2.26e-04	0.00e+00	140	116376
1680000	2.24e-04	0.00e+00	139	114511
1920000	2.10e-04	0.00e+00	138	106502
2160000	1.98e-04	0.00e+00	137	99914
2400000	1.84e-04	0.00e+00	136	91903
2640000	1.72e-04	0.00e+00	135	85542
2880000	1.56e-04	0.00e+00	134	77023
3120000	1.46e-04	0.00e+00	133	71708
3360000	1.40e-04	0.00e+00	132	67826
3600000	1.30e-04	0.00e+00	131	62680
3840000	1.23e-04	0.00e+00	130	59025
4080000	1.18e-04	0.00e+00	129	56080
4320000	1.16e-04	0.00e+00	128	54455
4560000	1.10e-04	0.00e+00	127	51333
4800000	1.05e-04	0.00e+00	126	48486
5040000	1.01e-04	0.00e+00	125	46313
5280000	9.68e-05	0.00e+00	124	44205
5520000	9.35e-05	0.00e+00	123	42346
5760000	9.08e-05	0.00e+00	122	40783
6000000	8.77e-05	0.00e+00	121	39084
6240000	8.49e-05	0.00e+00	120	37522
6480000	8.19e-05	0.00e+00	119	35909
6720000	7.97e-05	0.00e+00	118	34647
6960000	7.76e-05	0.00e+00	117	33454
7200000	7.59e-05	0.00e+00	116	32408
7440000	7.35e-05	0.00e+00	115	31126
7680000	7.21e-05	0.00e+00	114	30263
7920000	7.07e-05	0.00e+00	113	29416
8160000	6.98e-05	0.00e+00	112	28796
8400000	6.89e-05	0.00e+00	111	28168
8640000	6.82e-05	0.00e+00	110	27629
8880000	6.68e-05	0.00e+00	109	26831
9120000	6.53e-05	0.00e+00	108	25967
9360000	6.39e-05	0.00e+00	107	25182
9600000	6.33e-05	0.00e+00	106	24697
9840000	6.26e-05	0.00e+00	105	24211
10080000	6.18e-05	0.00e+00	104	23660
10320000	6.07e-05	0.00e+00	103	23028
10560000	5.97e-05	0.00e+00	102	22440
10800000	5.86e-05	0.00e+00	101	21790
11040000	5.76e-05	0.00e+00	100	21219
11280000	5.69e-05	0.00e+00	99	20729
11520000	5.64e-05	0.00e+00	98	20341
11760000	5.60e-05	0.00e+00	97	20004
12000000	5.60e-05	0.00e+00	96	19780
12240000	5.63e-05	0.00e+00	95	19691
12480000	5.65e-05	0.00e+00	94	19550
12720000	5.62e-05	0.00e+00	93	19257
12960000	5.64e-05	0.00e+00	92	19091
13200000	5.60e-05	0.00e+00	91	18774
13440000	5.57e-05	0.00e+00	90	18473
13680000	5.47e-05	0.00e+00	89	17928
13920000	5.41e-05	0.00e+00	88	17526
14160000	5.37e-05	0.00e+00	87	17207
14400000	5.32e-05	0.00e+00	86	16841
14640000	5.28e-05	0.00e+00	85	16529
14880000	5.23e-05	0.00e+00	84	16172
15120000	5.20e-05	0.00e+00	83	15898
15360000	5.17e-05	0.00e+00	82	15597
15600000	5.11e-05	0.00e+00	81	15230
15840000	5.06e-05	0.00e+00	80	14898
16079999	4.97e-05	0.00e+00	79	14458
16439225	4.90e-05	0.00e+00	155	27949
16919205	4.77e-05	0.00e+00	151	26546
17399183	4.75e-05	0.00e+00	147	25732
17879160	4.70e-05	0.00e+00	143	24731
18359136	4.67e-05	0.00e+00	139	23895
18839111	4.61e-05	0.00e+00	135	22920
19319083	4.56e-05	0.00e+00	131	21986
19799055	4.51e-05	0.00e+00	127	21114
20279024	4.51e-05	0.00e+00	123	20412
20758991	4.43e-05	0.00e+00	119	19400
21238956	4.34e-05	0.00e+00	115	18372
21718918	4.21e-05	0.00e+00	111	17211
22198878	4.16e-05	0.00e+00	107	16406
22678834	4.06e-05	0.00e+00	103	15411
23158787	4.01e-05	0.00e+00	99	14633
23638736	3.95e-05	0.00e+00	95	13834
24118681	3.86e-05	0.00e+00	91	12947
24598620	3.75e-05	0.00e+00	87	12000
25078554	3.65e-05	0.00e+00	83	11147
25558481	3.64e-05	0.00e+00	79	10597
26038400	3.60e-05	0.00e+00	75	9935
26518309	3.52e-05	0.00e+00	71	9200
26998208	3.45e-05	0.00e+00	67	8505
27478095	3.31e-05	0.00e+00	63	7671
27957966	3.23e-05	0.00e+00	59	7009
28554074	3.20e-05	0.00e+00	81	9551
29273333	3.07e-05	0.00e+00	72	8147
29992380	3.03e-05	0.00e+00	63	7032
30711111	3.16e-05	0.00e+00	54	6281
31539310	3.06e-05	0.00e+00	58	6537
32592000	2.75e-05	0.00e+00	50	5070
33648000	5.46e-05	0.00e+00	25	5024
43776842	-8.81e-07	0.00e+00	-1482	4806
