avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
180000	2.52e-04	0.00e+00	193	171453
360000	2.08e-04	0.00e+00	192	140795
540000	1.89e-04	0.00e+00	191	127394
719999	1.65e-04	0.00e+00	190	110250
900000	1.54e-04	0.00e+00	189	102675
1080000	1.39e-04	0.00e+00	188	92218
1260000	1.35e-04	0.00e+00	187	88729
1440000	1.29e-04	0.00e+00	186	84457
1620000	1.23e-04	0.00e+00	185	79977
1800000	1.17e-04	0.00e+00	184	75692
1979999	1.11e-04	0.00e+00	183	71911
2160000	1.10e-04	0.00e+00	182	70881
2340000	1.05e-04	0.00e+00	181	67095
2520000	1.00e-04	0.00e+00	180	63467
2700000	9.76e-05	0.00e+00	179	61599
2880000	9.43e-05	0.00e+00	178	59205
3060000	9.33e-05	0.00e+00	177	58252
3240000	9.34e-05	0.00e+00	176	57979
3420000	9.30e-05	0.00e+00	175	57418
3600000	8.52e-05	0.00e+00	174	52269
3780000	8.08e-05	0.00e+00	173	49307
3960000	7.75e-05	0.00e+00	172	46998
4139999	7.52e-05	0.00e+00	171	45339
4320000	7.03e-05	0.00e+00	170	42166
4500000	6.78e-05	0.00e+00	169	40429
4680000	6.51e-05	0.00e+00	168	38565
4860000	6.40e-05	0.00e+00	167	37693
5040000	6.13e-05	0.00e+00	166	35886
5220000	5.91e-05	0.00e+00	165	34370
5400000	5.82e-05	0.00e+00	164	33687
5580000	5.63e-05	0.00e+00	163	32343
5760000	5.43e-05	0.00e+00	162	31017
5940000	5.28e-05	0.00e+00	161	30001
6120000	5.12e-05	0.00e+00	160	28898
6300000	5.02e-05	0.00e+00	159	28142
6480000	4.88e-05	0.00e+00	158	27200
6660000	4.76e-05	0.00e+00	157	26377
6840000	4.65e-05	0.00e+00	156	25588
7020000	4.53e-05	0.00e+00	155	24757
7199999	4.46e-05	0.00e+00	154	24209
7379999	4.36e-05	0.00e+00	153	23531
7560000	4.25e-05	0.00e+00	152	22790
7740000	4.17e-05	0.00e+00	151	22228
7920000	4.06e-05	0.00e+00	150	21497
8100000	3.98e-05	0.00e+00	149	20932
8279999	3.89e-05	0.00e+00	148	20302
8460000	3.80e-05	0.00e+00	147	19724
8640000	3.76e-05	0.00e+00	146	19357
8820000	3.70e-05	0.00e+00	145	18932
9089686	3.63e-05	0.00e+00	287	36755
9449681	3.54e-05	0.00e+00	283	35281
9809677	3.45e-05	0.00e+00	279	33957
10169672	3.35e-05	0.00e+00	275	32525
10529667	3.27e-05	0.00e+00	271	31249
10889662	3.19e-05	0.00e+00	267	29999
11249657	3.14e-05	0.00e+00	263	29127
11609652	3.08e-05	0.00e+00	259	28099
11969647	2.99e-05	0.00e+00	255	26862
12329641	2.88e-05	0.00e+00	251	25510
12689635	2.80e-05	0.00e+00	247	24428
13049629	2.74e-05	0.00e+00	243	23508
13409623	2.70e-05	0.00e+00	239	22769
13769617	2.67e-05	0.00e+00	235	22135
14129610	2.63e-05	0.00e+00	231	21447
14489603	2.59e-05	0.00e+00	227	20717
14849596	2.56e-05	0.00e+00	223	20125
15209589	2.53e-05	0.00e+00	219	19528
15569581	2.48e-05	0.00e+00	215	18786
15929573	2.41e-05	0.00e+00	211	17968
16289565	2.39e-05	0.00e+00	207	17448
16649556	2.35e-05	0.00e+00	203	16828
17009547	2.33e-05	0.00e+00	199	16323
17369538	2.31e-05	0.00e+00	195	15860
17729528	2.27e-05	0.00e+00	191	15321
18089518	2.25e-05	0.00e+00	187	14861
18449508	2.27e-05	0.00e+00	183	14653
18809497	2.29e-05	0.00e+00	179	14471
19169485	2.30e-05	0.00e+00	175	14176
19529473	2.28e-05	0.00e+00	171	13772
19978554	2.26e-05	0.00e+00	249	19808
20518500	2.23e-05	0.00e+00	240	18839
21058441	2.21e-05	0.00e+00	231	18037
21598378	2.20e-05	0.00e+00	222	17223
22138309	2.18e-05	0.00e+00	213	16408
22678235	2.19e-05	0.00e+00	204	15790
23218153	2.22e-05	0.00e+00	195	15296
23758064	2.20e-05	0.00e+00	186	14448
24297966	2.18e-05	0.00e+00	177	13613
24837857	2.18e-05	0.00e+00	168	12886
25377735	2.17e-05	0.00e+00	159	12163
25917600	2.19e-05	0.00e+00	150	11581
26545161	2.20e-05	0.00e+00	186	14437
27264705	2.19e-05	0.00e+00	170	13111
27984155	2.22e-05	0.00e+00	154	12081
28703478	2.21e-05	0.00e+00	138	10758
29422622	2.32e-05	0.00e+00	122	9969
30226153	2.45e-05	0.00e+00	130	11233
31204390	2.46e-05	0.00e+00	123	10668
32610000	1.96e-05	0.00e+00	132	9139
43815223	-8.91e-07	0.00e+00	-2680	8425
