avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
300000	6.51e-04	0.00e+00	115	264024
600000	4.57e-04	0.00e+00	114	183701
900000	3.99e-04	0.00e+00	113	158911
1200000	3.64e-04	0.00e+00	112	143765
1500000	3.45e-04	0.00e+00	111	135023
1800000	3.21e-04	0.00e+00	110	124584
2100000	2.98e-04	0.00e+00	109	114490
2400000	2.78e-04	0.00e+00	108	105932
2700000	2.61e-04	0.00e+00	107	98601
3000000	2.50e-04	0.00e+00	106	93500
3300000	2.32e-04	0.00e+00	105	85809
3600000	2.18e-04	0.00e+00	104	79839
3900000	2.06e-04	0.00e+00	103	74869
4200000	1.95e-04	0.00e+00	102	70077
4500000	1.88e-04	0.00e+00	101	67081
4800000	1.81e-04	0.00e+00	100	63691
5100000	1.71e-04	0.00e+00	99	59710
5400000	1.63e-04	0.00e+00	98	56448
5700000	1.53e-04	0.00e+00	97	52411
6000000	1.47e-04	0.00e+00	96	49881
6300000	1.41e-04	0.00e+00	95	47145
6600000	1.35e-04	0.00e+00	94	44748
6900000	1.32e-04	0.00e+00	93	43138
7200000	1.27e-04	0.00e+00	92	41320
7500000	1.24e-04	0.00e+00	91	39645
7800000	1.20e-04	0.00e+00	90	37957
8100000	1.16e-04	0.00e+00	89	36369
8400000	1.13e-04	0.00e+00	88	35080
8700000	1.11e-04	0.00e+00	87	34124
9000000	1.10e-04	0.00e+00	86	33235
9300000	1.08e-04	0.00e+00	85	32504
9600000	1.07e-04	0.00e+00	84	31694
9900000	1.05e-04	0.00e+00	83	30674
10200000	1.03e-04	0.00e+00	82	29651
10500000	9.98e-05	0.00e+00	81	28512
10800000	9.68e-05	0.00e+00	80	27316
11100000	9.47e-05	0.00e+00	79	26391
11400000	9.39e-05	0.00e+00	78	25819
11700000	9.32e-05	0.00e+00	77	25317
12000000	9.29e-05	0.00e+00	76	24911
12300000	9.23e-05	0.00e+00	75	24415
12600000	9.14e-05	0.00e+00	74	23842
12900000	9.07e-05	0.00e+00	73	23355
13200000	9.07e-05	0.00e+00	72	23029
13500000	8.97e-05	0.00e+00	71	22474
13800000	8.88e-05	0.00e+00	70	21922
14100000	8.85e-05	0.00e+00	69	21548
14400000	8.81e-05	0.00e+00	68	21126
14700000	8.73e-05	0.00e+00	67	20618
15000000	8.59e-05	0.00e+00	66	20006
15300000	8.39e-05	0.00e+00	65	19232
15600000	8.19e-05	0.00e+00	64	18481
15900000	7.99e-05	0.00e+00	63	17757
16200000	7.84e-05	0.00e+00	62	17146
16500000	7.71e-05	0.00e+00	61	16579
16800000	7.63e-05	0.00e+00	60	16156
17100000	7.57e-05	0.00e+00	59	15757
17400000	7.54e-05	0.00e+00	58	15420
17700000	7.52e-05	0.00e+00	57	15111
18000000	7.41e-05	0.00e+00	56	14633
18300000	7.33e-05	0.00e+00	55	14210
18600000	7.27e-05	0.00e+00	54	13844
18900000	7.28e-05	0.00e+00	53	13607
19200000	7.25e-05	0.00e+00	52	13304
19500000	7.19e-05	0.00e+00	51	12934
19800000	7.13e-05	0.00e+00	50	12571
20100000	7.05e-05	0.00e+00	49	12184
20400000	6.95e-05	0.00e+00	48	11768
20700000	6.86e-05	0.00e+00	47	11366
21000000	6.78e-05	0.00e+00	46	11001
21300000	6.75e-05	0.00e+00	45	10713
21600000	6.73e-05	0.00e+00	44	10439
21900000	6.71e-05	0.00e+00	43	10182
22200000	6.69e-05	0.00e+00	42	9913
22500000	6.67e-05	0.00e+00	41	9649
22800000	6.65e-05	0.00e+00	40	9385
23100000	6.65e-05	0.00e+00	39	9148
23400000	6.59e-05	0.00e+00	38	8831
23700000	6.57e-05	0.00e+00	37	8579
24000000	6.52e-05	0.00e+00	36	8282
24300000	6.52e-05	0.00e+00	35	8044
24747761	6.59e-05	0.00e+00	67	15561
25347619	6.63e-05	0.00e+00	63	14724
25947457	6.60e-05	0.00e+00	59	13741
26547272	6.60e-05	0.00e+00	55	12795
27147058	6.69e-05	0.00e+00	51	12026
27746808	6.80e-05	0.00e+00	47	11268
28346511	6.88e-05	0.00e+00	43	10432
28946153	6.99e-05	0.00e+00	39	9615
29399999	7.35e-05	0.00e+00	18	4663
29845454	7.59e-05	0.00e+00	33	8835
30444827	7.56e-05	0.00e+00	29	7733
31043999	7.43e-05	0.00e+00	25	6549
31642857	6.82e-05	0.00e+00	21	5051
32241176	6.32e-05	0.00e+00	17	3792
32966666	5.01e-05	0.00e+00	18	3181
33900000	8.88e-05	0.00e+00	10	3133
35700000	-8.98e-05	0.00e+00	-10	3168
36633333	-4.05e-05	0.00e+00	-18	2573
43915384	-4.63e-07	0.00e+00	-962	1570
