avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
360000	8.68e-04	0.00e+00	97	289637
720000	6.83e-04	0.00e+00	96	225494
1080000	5.69e-04	0.00e+00	95	185931
1440000	5.31e-04	0.00e+00	94	171639
1800000	4.68e-04	0.00e+00	93	149897
2160000	4.45e-04	0.00e+00	92	140923
2520000	4.08e-04	0.00e+00	91	127822
2880000	3.85e-04	0.00e+00	90	119170
3240000	3.82e-04	0.00e+00	89	116828
3600000	3.46e-04	0.00e+00	88	104815
3960000	3.17e-04	0.00e+00	87	94787
4320000	2.87e-04	0.00e+00	86	84929
4680000	2.65e-04	0.00e+00	85	77389
5040000	2.48e-04	0.00e+00	84	71812
5400000	2.36e-04	0.00e+00	83	67378
5760000	2.20e-04	0.00e+00	82	62015
6120000	2.07e-04	0.00e+00	81	57800
6480000	1.98e-04	0.00e+00	80	54567
6840000	1.89e-04	0.00e+00	79	51330
7200000	1.80e-04	0.00e+00	78	48197
7560000	1.72e-04	0.00e+00	77	45590
7919999	1.65e-04	0.00e+00	76	43167
8279999	1.57e-04	0.00e+00	75	40632
8640000	1.52e-04	0.00e+00	74	38694
9000000	1.48e-04	0.00e+00	73	37135
9360000	1.44e-04	0.00e+00	72	35673
9720000	1.40e-04	0.00e+00	71	34313
10080000	1.36e-04	0.00e+00	70	32827
10440000	1.33e-04	0.00e+00	69	31580
10800000	1.29e-04	0.00e+00	68	30284
11160000	1.27e-04	0.00e+00	67	29306
11520000	1.25e-04	0.00e+00	66	28325
11880000	1.22e-04	0.00e+00	65	27234
12240000	1.17e-04	0.00e+00	64	25860
12600000	1.14e-04	0.00e+00	63	24726
12960000	1.11e-04	0.00e+00	62	23739
13320000	1.09e-04	0.00e+00	61	22961
13680000	1.08e-04	0.00e+00	60	22277
14040000	1.06e-04	0.00e+00	59	21609
14400000	1.05e-04	0.00e+00	58	20866
14759999	1.04e-04	0.00e+00	57	20325
15120000	1.02e-04	0.00e+00	56	19670
15480000	1.00e-04	0.00e+00	55	18967
15840000	9.79e-05	0.00e+00	54	18197
16200000	9.64e-05	0.00e+00	53	17586
16559999	9.48e-05	0.00e+00	52	16960
16920000	9.39e-05	0.00e+00	51	16471
17280000	9.27e-05	0.00e+00	50	15941
17640000	9.19e-05	0.00e+00	49	15489
18000000	9.06e-05	0.00e+00	48	14956
18360000	9.10e-05	0.00e+00	47	14716
18720000	9.20e-05	0.00e+00	46	14558
19080000	9.20e-05	0.00e+00	45	14236
19440000	9.18e-05	0.00e+00	44	13904
19800000	9.07e-05	0.00e+00	43	13416
20160000	8.99e-05	0.00e+00	42	12984
20520000	8.89e-05	0.00e+00	41	12534
20880000	8.89e-05	0.00e+00	40	12230
21240000	8.81e-05	0.00e+00	39	11826
21600000	8.79e-05	0.00e+00	38	11498
21960000	8.70e-05	0.00e+00	37	11070
22320000	8.72e-05	0.00e+00	36	10804
22680000	8.77e-05	0.00e+00	35	10557
23040000	8.83e-05	0.00e+00	34	10324
23400000	8.83e-05	0.00e+00	33	10028
23760000	8.74e-05	0.00e+00	32	9623
24120000	8.65e-05	0.00e+00	31	9224
24480000	8.64e-05	0.00e+00	30	8919
24840000	8.63e-05	0.00e+00	29	8608
25200000	8.58e-05	0.00e+00	28	8261
25560000	8.53e-05	0.00e+00	27	7926
25920000	8.66e-05	0.00e+00	26	7745
26280000	8.64e-05	0.00e+00	25	7431
26640000	8.66e-05	0.00e+00	24	7152
27000000	8.62e-05	0.00e+00	23	6822
27360000	8.52e-05	0.00e+00	22	6451
27720000	8.60e-05	0.00e+00	21	6215
28079999	8.71e-05	0.00e+00	20	5991
28440000	8.53e-05	0.00e+00	19	5576
28799999	8.61e-05	0.00e+00	18	5333
29160000	8.79e-05	0.00e+00	17	5144
29520000	8.93e-05	0.00e+00	16	4915
29880000	9.12e-05	0.00e+00	15	4708
30240000	9.27e-05	0.00e+00	14	4467
30600000	9.61e-05	0.00e+00	13	4297
30959999	9.46e-05	0.00e+00	12	3904
31319999	9.09e-05	0.00e+00	11	3439
31680000	8.62e-05	0.00e+00	10	2967
32040000	7.79e-05	0.00e+00	9	2411
32400000	6.86e-05	0.00e+00	8	1888
32759999	6.59e-05	0.00e+00	7	1586
33119999	6.58e-05	0.00e+00	6	1358
33640000	5.96e-05	0.00e+00	9	1845
34344000	8.37e-05	0.00e+00	5	1439
34920000	4.12e-04	0.00e+00	1	1416
35880000	-1.48e-04	0.00e+00	-3	1527
36565714	-6.96e-05	0.00e+00	-7	1676
37080000	-4.54e-05	0.00e+00	-5	781
37633846	-1.60e-05	0.00e+00	-13	715
44112558	-1.55e-07	0.00e+00	-602	321
