avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
120000	1.30e-04	0.00e+00	289	139470
240000	1.02e-04	0.00e+00	288	109017
360000	1.01e-04	0.00e+00	287	107400
480000	9.20e-05	0.00e+00	286	97793
600000	8.24e-05	0.00e+00	285	87332
720000	7.53e-05	0.00e+00	284	79454
840000	7.13e-05	0.00e+00	283	75037
959999	7.06e-05	0.00e+00	282	74025
1080000	6.76e-05	0.00e+00	281	70655
1200000	6.18e-05	0.00e+00	280	64375
1320000	6.03e-05	0.00e+00	279	62581
1440000	6.23e-05	0.00e+00	278	64384
1560000	5.81e-05	0.00e+00	277	59828
1680000	5.49e-05	0.00e+00	276	56283
1800000	5.29e-05	0.00e+00	275	54050
1919999	5.19e-05	0.00e+00	274	52908
2040000	5.20e-05	0.00e+00	273	52817
2160000	4.90e-05	0.00e+00	272	49590
2280000	4.72e-05	0.00e+00	271	47587
2400000	4.56e-05	0.00e+00	270	45782
2520000	4.47e-05	0.00e+00	269	44660
2640000	4.23e-05	0.00e+00	268	42172
2760000	4.11e-05	0.00e+00	267	40797
2880000	4.04e-05	0.00e+00	266	39985
3000000	3.85e-05	0.00e+00	265	37947
3120000	3.72e-05	0.00e+00	264	36513
3240000	3.57e-05	0.00e+00	263	34909
3360000	3.45e-05	0.00e+00	262	33637
3480000	3.43e-05	0.00e+00	261	33313
3600000	3.28e-05	0.00e+00	260	31713
3720000	3.17e-05	0.00e+00	259	30564
3840000	3.07e-05	0.00e+00	258	29464
3960000	3.02e-05	0.00e+00	257	28828
4080000	2.99e-05	0.00e+00	256	28463
4200000	2.89e-05	0.00e+00	255	27419
4320000	2.87e-05	0.00e+00	254	27118
4499881	2.79e-05	0.00e+00	505	52365
4739880	2.64e-05	0.00e+00	501	49183
4979879	2.54e-05	0.00e+00	497	46848
5219878	2.46e-05	0.00e+00	493	44993
5459877	2.37e-05	0.00e+00	489	43030
5699876	2.31e-05	0.00e+00	485	41717
5939875	2.22e-05	0.00e+00	481	39683
6179874	2.14e-05	0.00e+00	477	38024
6419873	2.08e-05	0.00e+00	473	36490
6659872	2.01e-05	0.00e+00	469	35075
6899870	1.96e-05	0.00e+00	465	33911
7139869	1.91e-05	0.00e+00	461	32790
7379868	1.87e-05	0.00e+00	457	31843
7619867	1.84e-05	0.00e+00	453	31022
7859866	1.81e-05	0.00e+00	449	30258
8099865	1.78e-05	0.00e+00	445	29488
8339863	1.75e-05	0.00e+00	441	28734
8579862	1.72e-05	0.00e+00	437	27944
8819861	1.70e-05	0.00e+00	433	27341
9059860	1.68e-05	0.00e+00	429	26763
9299858	1.65e-05	0.00e+00	425	26055
9539857	1.63e-05	0.00e+00	421	25527
9779856	1.60e-05	0.00e+00	417	24817
10019854	1.57e-05	0.00e+00	413	24107
10259853	1.54e-05	0.00e+00	409	23366
10499851	1.50e-05	0.00e+00	405	22653
10799600	1.47e-05	0.00e+00	600	32728
11159593	1.44e-05	0.00e+00	591	31623
11519587	1.41e-05	0.00e+00	582	30450
11879581	1.37e-05	0.00e+00	573	29093
12239574	1.33e-05	0.00e+00	564	27926
12599567	1.31e-05	0.00e+00	555	26939
12959560	1.28e-05	0.00e+00	546	26044
13319553	1.26e-05	0.00e+00	537	25179
13679545	1.22e-05	0.00e+00	528	23955
14039537	1.19e-05	0.00e+00	519	22944
14399529	1.17e-05	0.00e+00	510	22137
14759520	1.16e-05	0.00e+00	501	21537
15119512	1.14e-05	0.00e+00	492	20935
15479503	1.13e-05	0.00e+00	483	20206
15899047	1.11e-05	0.00e+00	630	25992
16379022	1.10e-05	0.00e+00	614	25041
16858996	1.08e-05	0.00e+00	598	24055
17338969	1.07e-05	0.00e+00	582	23193
17818939	1.05e-05	0.00e+00	566	22050
18298909	1.02e-05	0.00e+00	550	20875
18778876	1.00e-05	0.00e+00	534	19947
19258841	1.01e-05	0.00e+00	518	19440
19738804	1.02e-05	0.00e+00	502	19041
20278016	1.01e-05	0.00e+00	605	22661
20877931	1.01e-05	0.00e+00	580	21844
21477837	1.02e-05	0.00e+00	555	21048
22077735	1.02e-05	0.00e+00	530	20088
22677623	1.02e-05	0.00e+00	505	19079
23277500	1.02e-05	0.00e+00	480	18131
23936132	1.02e-05	0.00e+00	543	20543
24655857	1.01e-05	0.00e+00	507	18952
25433846	9.86e-06	0.00e+00	546	20022
26273239	9.48e-06	0.00e+00	497	17507
27170078	8.95e-06	0.00e+00	508	16901
28241834	8.47e-06	0.00e+00	545	17166
29547126	8.64e-06	0.00e+00	522	16758
31266666	9.05e-06	0.00e+00	513	17257
43974065	-7.35e-07	0.00e+00	-5915	16154
