avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
300000	7.11e-04	0.00e+00	116	300004
600000	5.24e-04	0.00e+00	115	219166
900000	4.49e-04	0.00e+00	114	186199
1200000	4.07e-04	0.00e+00	113	167419
1500000	3.71e-04	0.00e+00	112	150938
1800000	3.42e-04	0.00e+00	111	137891
2100000	3.15e-04	0.00e+00	110	125977
2399999	2.90e-04	0.00e+00	109	114810
2700000	2.67e-04	0.00e+00	108	105023
3000000	2.44e-04	0.00e+00	107	95082
3299999	2.23e-04	0.00e+00	106	86057
3600000	2.08e-04	0.00e+00	105	79271
3899999	1.95e-04	0.00e+00	104	73703
4200000	1.83e-04	0.00e+00	103	68704
4500000	1.76e-04	0.00e+00	102	65320
4800000	1.65e-04	0.00e+00	101	60677
5100000	1.58e-04	0.00e+00	100	57305
5400000	1.52e-04	0.00e+00	99	54637
5700000	1.46e-04	0.00e+00	98	51867
6000000	1.40e-04	0.00e+00	97	49246
6300000	1.33e-04	0.00e+00	96	46565
6600000	1.28e-04	0.00e+00	95	44247
6900000	1.24e-04	0.00e+00	94	42417
7200000	1.20e-04	0.00e+00	93	40682
7500000	1.17e-04	0.00e+00	92	39232
7800000	1.15e-04	0.00e+00	91	38119
8100000	1.13e-04	0.00e+00	90	36879
8400000	1.10e-04	0.00e+00	89	35667
8700000	1.08e-04	0.00e+00	88	34590
9000000	1.06e-04	0.00e+00	87	33593
9300000	1.04e-04	0.00e+00	86	32609
9600000	1.02e-04	0.00e+00	85	31672
9900000	1.00e-04	0.00e+00	84	30590
10200000	9.79e-05	0.00e+00	83	29541
10500000	9.48e-05	0.00e+00	82	28277
10800000	9.28e-05	0.00e+00	81	27328
11100000	9.11e-05	0.00e+00	80	26491
11400000	8.93e-05	0.00e+00	79	25668
11700000	8.74e-05	0.00e+00	78	24787
12000000	8.53e-05	0.00e+00	77	23874
12300000	8.38e-05	0.00e+00	76	23157
12600000	8.24e-05	0.00e+00	75	22486
12900000	8.11e-05	0.00e+00	74	21818
13200000	8.00e-05	0.00e+00	73	21238
13500000	7.82e-05	0.00e+00	72	20477
13800000	7.63e-05	0.00e+00	71	19705
14100000	7.46e-05	0.00e+00	70	18997
14400000	7.35e-05	0.00e+00	69	18452
14700000	7.28e-05	0.00e+00	68	18001
15000000	7.23e-05	0.00e+00	67	17626
15300000	7.16e-05	0.00e+00	66	17178
15600000	7.04e-05	0.00e+00	65	16649
15900000	6.99e-05	0.00e+00	64	16257
16200000	6.93e-05	0.00e+00	63	15881
16500000	6.84e-05	0.00e+00	62	15429
16800000	6.80e-05	0.00e+00	61	15094
17100000	6.79e-05	0.00e+00	60	14817
17400000	6.72e-05	0.00e+00	59	14415
17700000	6.61e-05	0.00e+00	58	13936
18000000	6.50e-05	0.00e+00	57	13480
18300000	6.40e-05	0.00e+00	56	13033
18600000	6.33e-05	0.00e+00	55	12665
18900000	6.29e-05	0.00e+00	54	12359
19200000	6.33e-05	0.00e+00	53	12195
19500000	6.36e-05	0.00e+00	52	12034
19800000	6.39e-05	0.00e+00	51	11852
20100000	6.32e-05	0.00e+00	50	11483
20400000	6.30e-05	0.00e+00	49	11229
20700000	6.33e-05	0.00e+00	48	11041
21000000	6.35e-05	0.00e+00	47	10854
21300000	6.37e-05	0.00e+00	46	10661
21600000	6.36e-05	0.00e+00	45	10404
21900000	6.37e-05	0.00e+00	44	10197
22200000	6.36e-05	0.00e+00	43	9950
22500000	6.32e-05	0.00e+00	42	9657
22800000	6.35e-05	0.00e+00	41	9463
23100000	6.35e-05	0.00e+00	40	9232
23400000	6.33e-05	0.00e+00	39	8974
23700000	6.33e-05	0.00e+00	38	8745
24000000	6.31e-05	0.00e+00	37	8493
24300000	6.32e-05	0.00e+00	36	8268
24600000	6.25e-05	0.00e+00	35	7960
24900000	6.21e-05	0.00e+00	34	7680
25200000	6.13e-05	0.00e+00	33	7360
25647619	6.08e-05	0.00e+00	63	13928
26247457	5.86e-05	0.00e+00	59	12581
26847272	5.58e-05	0.00e+00	55	11164
27447058	5.41e-05	0.00e+00	51	10034
28046808	5.21e-05	0.00e+00	47	8913
28646511	5.10e-05	0.00e+00	43	7978
29246153	5.19e-05	0.00e+00	39	7362
29845714	5.27e-05	0.00e+00	35	6702
30445161	5.34e-05	0.00e+00	31	6017
31044444	5.34e-05	0.00e+00	27	5244
31643478	5.38e-05	0.00e+00	23	4497
32377777	5.12e-05	0.00e+00	27	5031
33381818	4.92e-05	0.00e+00	22	3939
34200000	2.27e-04	0.00e+00	5	4121
36257142	-6.93e-05	0.00e+00	-14	3526
43922448	-7.41e-07	0.00e+00	-931	2509
