avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
390000	1.09e-03	0.00e+00	91	355660
780000	7.63e-04	0.00e+00	90	244984
1170000	6.38e-04	0.00e+00	89	202725
1560000	5.84e-04	0.00e+00	88	183421
1950000	5.38e-04	0.00e+00	87	167031
2340000	4.85e-04	0.00e+00	86	148814
2730000	4.35e-04	0.00e+00	85	131869
3119999	3.90e-04	0.00e+00	84	116918
3510000	3.47e-04	0.00e+00	83	102742
3900000	3.22e-04	0.00e+00	82	94332
4290000	3.04e-04	0.00e+00	81	87846
4680000	2.87e-04	0.00e+00	80	81949
5070000	2.73e-04	0.00e+00	79	77113
5460000	2.56e-04	0.00e+00	78	71342
5850000	2.43e-04	0.00e+00	77	66717
6240000	2.29e-04	0.00e+00	76	62180
6630000	2.17e-04	0.00e+00	75	57971
7020000	2.06e-04	0.00e+00	74	54463
7410000	1.96e-04	0.00e+00	73	50945
7800000	1.86e-04	0.00e+00	72	47840
8189999	1.79e-04	0.00e+00	71	45419
8580000	1.75e-04	0.00e+00	70	43630
8970000	1.71e-04	0.00e+00	69	42041
9360000	1.66e-04	0.00e+00	68	40410
9750000	1.64e-04	0.00e+00	67	39118
10140000	1.61e-04	0.00e+00	66	37848
10530000	1.56e-04	0.00e+00	65	36171
10920000	1.50e-04	0.00e+00	64	34310
11310000	1.45e-04	0.00e+00	63	32701
11700000	1.42e-04	0.00e+00	62	31416
12090000	1.42e-04	0.00e+00	61	30821
12480000	1.41e-04	0.00e+00	60	30285
12870000	1.40e-04	0.00e+00	59	29474
13260000	1.38e-04	0.00e+00	58	28648
13650000	1.36e-04	0.00e+00	57	27611
14040000	1.33e-04	0.00e+00	56	26520
14430000	1.32e-04	0.00e+00	55	25849
14820000	1.31e-04	0.00e+00	54	25198
15210000	1.30e-04	0.00e+00	53	24529
15599999	1.29e-04	0.00e+00	52	23936
15990000	1.27e-04	0.00e+00	51	23150
16379999	1.26e-04	0.00e+00	50	22407
16770000	1.24e-04	0.00e+00	49	21602
17160000	1.22e-04	0.00e+00	48	20875
17550000	1.21e-04	0.00e+00	47	20304
17940000	1.21e-04	0.00e+00	46	19792
18330000	1.20e-04	0.00e+00	45	19244
18720000	1.19e-04	0.00e+00	44	18741
19110000	1.20e-04	0.00e+00	43	18356
19500000	1.19e-04	0.00e+00	42	17807
19890000	1.18e-04	0.00e+00	41	17329
20280000	1.19e-04	0.00e+00	40	16947
20670000	1.18e-04	0.00e+00	39	16358
21060000	1.17e-04	0.00e+00	38	15847
21450000	1.15e-04	0.00e+00	37	15230
21840000	1.15e-04	0.00e+00	36	14727
22230000	1.14e-04	0.00e+00	35	14230
22620000	1.12e-04	0.00e+00	34	13602
23010000	1.11e-04	0.00e+00	33	13054
23400000	1.10e-04	0.00e+00	32	12568
23790000	1.09e-04	0.00e+00	31	12050
24180000	1.07e-04	0.00e+00	30	11471
24570000	1.03e-04	0.00e+00	29	10695
24960000	1.00e-04	0.00e+00	28	10014
25350000	9.66e-05	0.00e+00	27	9312
25740000	9.50e-05	0.00e+00	26	8815
26130000	9.39e-05	0.00e+00	25	8379
26520000	9.12e-05	0.00e+00	24	7816
26909999	8.71e-05	0.00e+00	23	7148
27300000	8.42e-05	0.00e+00	22	6612
27690000	8.14e-05	0.00e+00	21	6102
28079999	7.95e-05	0.00e+00	20	5674
28470000	7.75e-05	0.00e+00	19	5255
28860000	7.61e-05	0.00e+00	18	4891
29250000	7.32e-05	0.00e+00	17	4442
29640000	7.20e-05	0.00e+00	16	4114
30030000	7.13e-05	0.00e+00	15	3819
30420000	7.19e-05	0.00e+00	14	3594
30810000	7.13e-05	0.00e+00	13	3307
31200000	6.87e-05	0.00e+00	12	2943
31590000	6.58e-05	0.00e+00	11	2582
31980000	6.14e-05	0.00e+00	10	2193
32369999	5.58e-05	0.00e+00	9	1792
32759999	5.10e-05	0.00e+00	8	1456
33150000	4.95e-05	0.00e+00	7	1237
33540000	4.52e-05	0.00e+00	6	969
33930000	4.44e-05	0.00e+00	5	793
34320000	5.20e-05	0.00e+00	4	742
34710000	7.52e-05	0.00e+00	3	805
35100000	1.02e-04	0.00e+00	2	730
35490000	2.09e-04	0.00e+00	1	745
0	0.00e+00	0.00e+00	0	754
36270000	-2.18e-04	0.00e+00	-1	778
36660000	-1.19e-04	0.00e+00	-2	853
37050000	-6.83e-05	0.00e+00	-3	731
37440000	-2.95e-05	0.00e+00	-4	421
37830000	-1.26e-05	0.00e+00	-5	224
38220000	-9.71e-06	0.00e+00	-6	208
44357368	-5.31e-08	0.00e+00	-475	90
