avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
360000	8.89e-04	0.00e+00	97	295727
720000	7.07e-04	0.00e+00	96	232539
1080000	6.26e-04	0.00e+00	95	203717
1440000	5.30e-04	0.00e+00	94	170793
1800000	4.91e-04	0.00e+00	93	156638
2160000	4.58e-04	0.00e+00	92	144414
2520000	4.18e-04	0.00e+00	91	130438
2880000	3.90e-04	0.00e+00	90	120451
3240000	3.57e-04	0.00e+00	89	108816
3600000	3.13e-04	0.00e+00	88	94522
3960000	2.84e-04	0.00e+00	87	84602
4320000	2.61e-04	0.00e+00	86	77094
4680000	2.49e-04	0.00e+00	85	72659
5040000	2.43e-04	0.00e+00	84	69927
5400000	2.29e-04	0.00e+00	83	65265
5760000	2.15e-04	0.00e+00	82	60398
6120000	2.04e-04	0.00e+00	81	56693
6480000	1.92e-04	0.00e+00	80	52685
6840000	1.81e-04	0.00e+00	79	49031
7200000	1.73e-04	0.00e+00	78	46250
7560000	1.68e-04	0.00e+00	77	44336
7919999	1.66e-04	0.00e+00	76	43216
8279999	1.62e-04	0.00e+00	75	41602
8640000	1.57e-04	0.00e+00	74	39831
9000000	1.52e-04	0.00e+00	73	38080
9360000	1.48e-04	0.00e+00	72	36577
9720000	1.43e-04	0.00e+00	71	34770
10080000	1.38e-04	0.00e+00	70	33199
10440000	1.37e-04	0.00e+00	69	32335
10800000	1.34e-04	0.00e+00	68	31180
11160000	1.30e-04	0.00e+00	67	29902
11520000	1.28e-04	0.00e+00	66	28876
11880000	1.25e-04	0.00e+00	65	27884
12240000	1.21e-04	0.00e+00	64	26639
12600000	1.18e-04	0.00e+00	63	25548
12960000	1.16e-04	0.00e+00	62	24601
13320000	1.14e-04	0.00e+00	61	23865
13680000	1.12e-04	0.00e+00	60	23043
14040000	1.09e-04	0.00e+00	59	22029
14400000	1.07e-04	0.00e+00	58	21181
14759999	1.04e-04	0.00e+00	57	20395
15120000	1.02e-04	0.00e+00	56	19568
15480000	1.00e-04	0.00e+00	55	18868
15840000	9.79e-05	0.00e+00	54	18129
16200000	9.72e-05	0.00e+00	53	17662
16559999	9.57e-05	0.00e+00	52	17054
16920000	9.41e-05	0.00e+00	51	16460
17280000	9.23e-05	0.00e+00	50	15817
17640000	9.07e-05	0.00e+00	49	15230
18000000	8.96e-05	0.00e+00	48	14741
18360000	8.70e-05	0.00e+00	47	14021
18720000	8.67e-05	0.00e+00	46	13668
19080000	8.63e-05	0.00e+00	45	13317
19440000	8.62e-05	0.00e+00	44	12995
19800000	8.62e-05	0.00e+00	43	12701
20160000	8.54e-05	0.00e+00	42	12297
20520000	8.44e-05	0.00e+00	41	11867
20880000	8.39e-05	0.00e+00	40	11504
21240000	8.36e-05	0.00e+00	39	11183
21600000	8.31e-05	0.00e+00	38	10821
21960000	8.31e-05	0.00e+00	37	10535
22320000	8.51e-05	0.00e+00	36	10508
22680000	8.60e-05	0.00e+00	35	10315
23040000	8.55e-05	0.00e+00	34	9966
23400000	8.71e-05	0.00e+00	33	9853
23760000	8.97e-05	0.00e+00	32	9843
24120000	9.02e-05	0.00e+00	31	9584
24480000	8.93e-05	0.00e+00	30	9179
24840000	8.95e-05	0.00e+00	29	8899
25200000	8.97e-05	0.00e+00	28	8610
25560000	8.85e-05	0.00e+00	27	8192
25920000	8.87e-05	0.00e+00	26	7902
26280000	8.82e-05	0.00e+00	25	7559
26640000	8.37e-05	0.00e+00	24	6889
27000000	8.18e-05	0.00e+00	23	6446
27360000	8.43e-05	0.00e+00	22	6361
27720000	8.52e-05	0.00e+00	21	6136
28079999	8.33e-05	0.00e+00	20	5709
28440000	8.39e-05	0.00e+00	19	5467
28799999	8.50e-05	0.00e+00	18	5247
29160000	8.71e-05	0.00e+00	17	5078
29520000	8.60e-05	0.00e+00	16	4717
29880000	8.46e-05	0.00e+00	15	4352
30240000	8.53e-05	0.00e+00	14	4094
30600000	8.40e-05	0.00e+00	13	3745
30959999	8.06e-05	0.00e+00	12	3314
31319999	7.75e-05	0.00e+00	11	2924
31680000	7.32e-05	0.00e+00	10	2510
32040000	6.84e-05	0.00e+00	9	2109
32400000	6.09e-05	0.00e+00	8	1669
32759999	5.63e-05	0.00e+00	7	1352
33119999	5.63e-05	0.00e+00	6	1157
33640000	4.90e-05	0.00e+00	9	1511
34344000	7.71e-05	0.00e+00	5	1322
34920000	3.43e-04	0.00e+00	1	1175
35880000	-1.32e-04	0.00e+00	-3	1357
36565714	-6.09e-05	0.00e+00	-7	1461
37080000	-3.88e-05	0.00e+00	-5	665
37633846	-1.13e-05	0.00e+00	-13	504
44112558	-1.32e-07	0.00e+00	-602	272
