avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
390000	1.02e-03	0.00e+00	92	311426
780000	7.17e-04	0.00e+00	91	215952
1170000	6.20e-04	0.00e+00	90	184505
1560000	5.41e-04	0.00e+00	89	159352
1950000	4.82e-04	0.00e+00	88	140396
2340000	4.40e-04	0.00e+00	87	126624
2730000	4.07e-04	0.00e+00	86	115831
3119999	3.99e-04	0.00e+00	85	112220
3510000	3.87e-04	0.00e+00	84	107478
3900000	3.55e-04	0.00e+00	83	97455
4290000	3.25e-04	0.00e+00	82	88046
4680000	2.97e-04	0.00e+00	81	79569
5070000	2.80e-04	0.00e+00	80	74050
5460000	2.66e-04	0.00e+00	79	69453
5850000	2.49e-04	0.00e+00	78	64139
6240000	2.38e-04	0.00e+00	77	60565
6630000	2.29e-04	0.00e+00	76	57601
7020000	2.18e-04	0.00e+00	75	54014
7410000	2.07e-04	0.00e+00	74	50678
7800000	1.99e-04	0.00e+00	73	48127
8189999	1.92e-04	0.00e+00	72	45733
8580000	1.86e-04	0.00e+00	71	43713
8970000	1.80e-04	0.00e+00	70	41802
9360000	1.78e-04	0.00e+00	69	40569
9750000	1.76e-04	0.00e+00	68	39618
10140000	1.72e-04	0.00e+00	67	38044
10530000	1.66e-04	0.00e+00	66	36220
10920000	1.61e-04	0.00e+00	65	34604
11310000	1.53e-04	0.00e+00	64	32436
11700000	1.46e-04	0.00e+00	63	30396
12090000	1.41e-04	0.00e+00	62	28977
12480000	1.38e-04	0.00e+00	61	27851
12870000	1.35e-04	0.00e+00	60	26826
13260000	1.33e-04	0.00e+00	59	25871
13650000	1.30e-04	0.00e+00	58	24955
14040000	1.28e-04	0.00e+00	57	24062
14429999	1.24e-04	0.00e+00	56	23021
14820000	1.20e-04	0.00e+00	55	21799
15210000	1.16e-04	0.00e+00	54	20653
15600000	1.12e-04	0.00e+00	53	19641
15990000	1.10e-04	0.00e+00	52	18886
16379999	1.09e-04	0.00e+00	51	18353
16770000	1.08e-04	0.00e+00	50	17839
17160000	1.07e-04	0.00e+00	49	17355
17550000	1.07e-04	0.00e+00	48	16959
17940000	1.06e-04	0.00e+00	47	16440
18330000	1.04e-04	0.00e+00	46	15885
18720000	1.03e-04	0.00e+00	45	15314
19110000	1.01e-04	0.00e+00	44	14751
19500000	1.01e-04	0.00e+00	43	14344
19890000	1.01e-04	0.00e+00	42	13991
20280000	1.01e-04	0.00e+00	41	13690
20670000	1.02e-04	0.00e+00	40	13507
21060000	1.03e-04	0.00e+00	39	13353
21450000	1.06e-04	0.00e+00	38	13298
21840000	1.07e-04	0.00e+00	37	13133
22230000	1.07e-04	0.00e+00	36	12771
22620000	1.07e-04	0.00e+00	35	12406
23010000	1.07e-04	0.00e+00	34	12016
23400000	1.08e-04	0.00e+00	33	11759
23790000	1.07e-04	0.00e+00	32	11290
24180000	1.06e-04	0.00e+00	31	10889
24570000	1.06e-04	0.00e+00	30	10496
24960000	1.03e-04	0.00e+00	29	9924
25350000	1.03e-04	0.00e+00	28	9519
25739999	1.02e-04	0.00e+00	27	9151
26130000	1.02e-04	0.00e+00	26	8813
26520000	1.02e-04	0.00e+00	25	8470
26910000	1.00e-04	0.00e+00	24	7950
27300000	9.93e-05	0.00e+00	23	7553
27690000	9.58e-05	0.00e+00	22	6975
28080000	9.38e-05	0.00e+00	21	6514
28470000	9.28e-05	0.00e+00	20	6138
28860000	9.15e-05	0.00e+00	19	5753
29250000	9.00e-05	0.00e+00	18	5363
29640000	8.66e-05	0.00e+00	17	4873
30030000	8.32e-05	0.00e+00	16	4406
30420000	8.22e-05	0.00e+00	15	4079
30810000	8.07e-05	0.00e+00	14	3738
31199999	7.94e-05	0.00e+00	13	3414
31590000	7.72e-05	0.00e+00	12	3065
31980000	7.40e-05	0.00e+00	11	2692
32369999	6.94e-05	0.00e+00	10	2295
32759999	6.55e-05	0.00e+00	9	1951
33150000	5.96e-05	0.00e+00	8	1577
33540000	4.55e-05	0.00e+00	7	1053
33930000	4.25e-05	0.00e+00	6	844
34320000	5.13e-05	0.00e+00	5	848
34710000	6.34e-05	0.00e+00	4	839
35100000	9.01e-05	0.00e+00	3	894
35490000	1.50e-04	0.00e+00	2	991
35880000	3.16e-04	0.00e+00	1	1047
0	0.00e+00	0.00e+00	0	1166
36660000	-3.88e-04	0.00e+00	-1	1284
37050000	-1.69e-04	0.00e+00	-2	1118
37440000	-7.00e-05	0.00e+00	-3	695
37830000	-3.19e-05	0.00e+00	-4	422
38220000	-1.38e-05	0.00e+00	-5	228
44416666	-3.69e-08	0.00e+00	-450	55
