avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
420000	1.12e-03	0.00e+00	84	322186
840000	8.75e-04	0.00e+00	83	247900
1260000	7.44e-04	0.00e+00	82	208307
1679999	6.63e-04	0.00e+00	81	183377
2100000	6.00e-04	0.00e+00	80	163841
2520000	5.59e-04	0.00e+00	79	150937
2940000	5.18e-04	0.00e+00	78	137963
3359999	5.04e-04	0.00e+00	77	132501
3780000	4.45e-04	0.00e+00	76	115513
4200000	4.01e-04	0.00e+00	75	102817
4620000	3.64e-04	0.00e+00	74	91926
5040000	3.36e-04	0.00e+00	73	83820
5460000	3.13e-04	0.00e+00	72	77038
5880000	2.93e-04	0.00e+00	71	71057
6300000	2.75e-04	0.00e+00	70	65690
6720000	2.59e-04	0.00e+00	69	61055
7140000	2.45e-04	0.00e+00	68	56959
7560000	2.33e-04	0.00e+00	67	53314
7980000	2.21e-04	0.00e+00	66	49908
8400000	2.09e-04	0.00e+00	65	46405
8820000	2.03e-04	0.00e+00	64	44281
9240000	1.96e-04	0.00e+00	63	42261
9660000	1.90e-04	0.00e+00	62	40276
10080000	1.84e-04	0.00e+00	61	38285
10500000	1.79e-04	0.00e+00	60	36616
10920000	1.74e-04	0.00e+00	59	34962
11340000	1.70e-04	0.00e+00	58	33740
11759999	1.65e-04	0.00e+00	57	32191
12179999	1.59e-04	0.00e+00	56	30378
12600000	1.53e-04	0.00e+00	55	28783
13019999	1.49e-04	0.00e+00	54	27517
13440000	1.47e-04	0.00e+00	53	26543
13860000	1.44e-04	0.00e+00	52	25596
14280000	1.42e-04	0.00e+00	51	24650
14700000	1.39e-04	0.00e+00	50	23813
15120000	1.37e-04	0.00e+00	49	22939
15540000	1.34e-04	0.00e+00	48	22002
15960000	1.31e-04	0.00e+00	47	20950
16379999	1.28e-04	0.00e+00	46	20153
16800000	1.26e-04	0.00e+00	45	19422
17220000	1.25e-04	0.00e+00	44	18727
17640000	1.23e-04	0.00e+00	43	18009
18060000	1.22e-04	0.00e+00	42	17431
18480000	1.22e-04	0.00e+00	41	17038
18900000	1.23e-04	0.00e+00	40	16806
19320000	1.23e-04	0.00e+00	39	16378
19740000	1.21e-04	0.00e+00	38	15709
20160000	1.20e-04	0.00e+00	37	15179
20580000	1.19e-04	0.00e+00	36	14576
21000000	1.18e-04	0.00e+00	35	14088
21420000	1.17e-04	0.00e+00	34	13604
21840000	1.16e-04	0.00e+00	33	13094
22260000	1.15e-04	0.00e+00	32	12612
22680000	1.16e-04	0.00e+00	31	12326
23100000	1.17e-04	0.00e+00	30	11962
23520000	1.17e-04	0.00e+00	29	11545
23940000	1.15e-04	0.00e+00	28	11006
24360000	1.14e-04	0.00e+00	27	10538
24779999	1.14e-04	0.00e+00	26	10098
25200000	1.12e-04	0.00e+00	25	9604
25620000	1.13e-04	0.00e+00	24	9248
26040000	1.14e-04	0.00e+00	23	8926
26460000	1.13e-04	0.00e+00	22	8527
26880000	1.13e-04	0.00e+00	21	8093
27300000	1.11e-04	0.00e+00	20	7585
27720000	1.12e-04	0.00e+00	19	7261
28140000	1.13e-04	0.00e+00	18	6930
28560000	1.10e-04	0.00e+00	17	6384
28980000	1.12e-04	0.00e+00	16	6125
29400000	1.13e-04	0.00e+00	15	5792
29820000	1.15e-04	0.00e+00	14	5506
30240000	1.18e-04	0.00e+00	13	5244
30660000	1.20e-04	0.00e+00	12	4902
31080000	1.17e-04	0.00e+00	11	4389
31500000	1.10e-04	0.00e+00	10	3748
31920000	9.83e-05	0.00e+00	9	3021
32340000	8.44e-05	0.00e+00	8	2306
32759999	7.87e-05	0.00e+00	7	1881
33180000	7.43e-05	0.00e+00	6	1523
33600000	6.60e-05	0.00e+00	5	1127
34020000	6.63e-05	0.00e+00	4	905
34440000	8.12e-05	0.00e+00	3	832
34860000	1.17e-04	0.00e+00	2	800
35280000	2.48e-04	0.00e+00	1	848
0	0.00e+00	0.00e+00	0	904
36120000	-2.59e-04	0.00e+00	-1	885
36540000	-1.46e-04	0.00e+00	-2	998
36960000	-9.24e-05	0.00e+00	-3	947
37380000	-4.19e-05	0.00e+00	-4	572
37800000	-1.85e-05	0.00e+00	-5	316
38220000	-1.14e-05	0.00e+00	-6	233
44286666	-3.25e-08	0.00e+00	-414	46
