avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
59999	8.71e-05	0.00e+00	561	181090
120000	4.04e-05	0.00e+00	560	83858
180000	2.40e-05	0.00e+00	559	49717
240000	2.27e-05	0.00e+00	558	46996
300000	2.27e-05	0.00e+00	557	46885
360000	2.36e-05	0.00e+00	556	48713
420000	2.33e-05	0.00e+00	555	47820
480000	2.26e-05	0.00e+00	554	46371
540000	2.15e-05	0.00e+00	553	44143
600000	2.02e-05	0.00e+00	552	41249
660000	1.89e-05	0.00e+00	551	38604
720000	1.80e-05	0.00e+00	550	36599
780000	1.78e-05	0.00e+00	549	36157
840000	1.84e-05	0.00e+00	548	37377
900000	1.86e-05	0.00e+00	547	37625
960000	1.83e-05	0.00e+00	546	37015
1020000	1.76e-05	0.00e+00	545	35524
1109972	1.66e-05	0.00e+00	1087	66661
1229972	1.53e-05	0.00e+00	1083	61340
1349972	1.44e-05	0.00e+00	1079	57723
1469972	1.46e-05	0.00e+00	1075	57956
1589971	1.38e-05	0.00e+00	1071	54625
1709971	1.33e-05	0.00e+00	1067	52682
1829971	1.32e-05	0.00e+00	1063	51979
1949971	1.30e-05	0.00e+00	1059	50839
2069971	1.28e-05	0.00e+00	1055	50045
2189971	1.22e-05	0.00e+00	1051	47326
2309971	1.20e-05	0.00e+00	1047	46482
2429971	1.15e-05	0.00e+00	1043	44311
2549971	1.11e-05	0.00e+00	1039	42842
2669971	1.10e-05	0.00e+00	1035	42305
2789970	1.06e-05	0.00e+00	1031	40352
2909970	1.04e-05	0.00e+00	1027	39503
3029970	1.02e-05	0.00e+00	1023	38669
3149970	1.01e-05	0.00e+00	1019	38101
3269970	9.46e-06	0.00e+00	1015	35569
3389970	9.13e-06	0.00e+00	1011	34210
3509970	8.62e-06	0.00e+00	1007	32159
3629970	8.37e-06	0.00e+00	1003	31104
3749969	8.14e-06	0.00e+00	999	30132
3899919	7.77e-06	0.00e+00	1491	42924
4079919	7.42e-06	0.00e+00	1482	40740
4259918	7.09e-06	0.00e+00	1473	38671
4439918	6.93e-06	0.00e+00	1464	37611
4619917	6.83e-06	0.00e+00	1455	36806
4799917	6.66e-06	0.00e+00	1446	35675
4979916	6.60e-06	0.00e+00	1437	35137
5159915	6.58e-06	0.00e+00	1428	34828
5339915	6.24e-06	0.00e+00	1419	32820
5519914	6.12e-06	0.00e+00	1410	31966
5699914	5.88e-06	0.00e+00	1401	30515
5879913	5.71e-06	0.00e+00	1392	29466
6059913	5.61e-06	0.00e+00	1383	28769
6269836	5.41e-06	0.00e+00	1830	36682
6509834	5.19e-06	0.00e+00	1814	34873
6749833	4.99e-06	0.00e+00	1798	33274
6989831	4.83e-06	0.00e+00	1782	31918
7229830	4.68e-06	0.00e+00	1766	30598
7469828	4.60e-06	0.00e+00	1750	29805
7709826	4.55e-06	0.00e+00	1734	29263
7949825	4.51e-06	0.00e+00	1718	28722
8189823	4.43e-06	0.00e+00	1702	27950
8429822	4.36e-06	0.00e+00	1686	27235
8699712	4.26e-06	0.00e+00	2085	32905
8999708	4.17e-06	0.00e+00	2060	31814
9299705	4.08e-06	0.00e+00	2035	30754
9599701	3.96e-06	0.00e+00	2010	29498
9899697	3.83e-06	0.00e+00	1985	28152
10199693	3.78e-06	0.00e+00	1960	27453
10499689	3.74e-06	0.00e+00	1935	26843
10829541	3.66e-06	0.00e+00	2289	31027
11189533	3.57e-06	0.00e+00	2253	29803
11549526	3.51e-06	0.00e+00	2217	28852
11909518	3.44e-06	0.00e+00	2181	27772
12269510	3.34e-06	0.00e+00	2145	26523
12659316	3.26e-06	0.00e+00	2457	29656
13079302	3.18e-06	0.00e+00	2408	28379
13499287	3.13e-06	0.00e+00	2359	27391
13919272	3.05e-06	0.00e+00	2310	26100
14369023	2.97e-06	0.00e+00	2580	28348
14848998	2.88e-06	0.00e+00	2516	26878
15328972	2.81e-06	0.00e+00	2452	25570
15838657	2.74e-06	0.00e+00	2682	27202
16378615	2.70e-06	0.00e+00	2601	26016
16948228	2.64e-06	0.00e+00	2795	27354
17548163	2.57e-06	0.00e+00	2695	25648
18177683	2.50e-06	0.00e+00	2849	26391
18837580	2.45e-06	0.00e+00	2728	24769
19526976	2.46e-06	0.00e+00	2838	25887
20276250	2.44e-06	0.00e+00	2912	26351
21056018	2.41e-06	0.00e+00	2743	24502
21865063	2.43e-06	0.00e+00	2765	24845
22733879	2.52e-06	0.00e+00	2745	25612
23633333	2.63e-06	0.00e+00	2520	24547
24561639	2.70e-06	0.00e+00	2440	24390
25578081	2.72e-06	0.00e+00	2439	24620
26741034	2.65e-06	0.00e+00	2436	23915
28106451	2.78e-06	0.00e+00	2325	23941
29770697	3.08e-06	0.00e+00	2064	23551
43792565	-2.25e-07	0.00e+00	-27504	22943
