avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
300000	6.66e-04	0.00e+00	116	257409
600000	4.71e-04	0.00e+00	115	180454
900000	3.99e-04	0.00e+00	114	151474
1200000	3.54e-04	0.00e+00	113	133189
1500000	3.36e-04	0.00e+00	112	125379
1800000	3.31e-04	0.00e+00	111	122269
2100000	3.17e-04	0.00e+00	110	116148
2399999	2.97e-04	0.00e+00	109	107818
2700000	2.82e-04	0.00e+00	108	101379
3000000	2.66e-04	0.00e+00	107	94652
3299999	2.48e-04	0.00e+00	106	87622
3600000	2.31e-04	0.00e+00	105	80657
3899999	2.13e-04	0.00e+00	104	73930
4200000	1.98e-04	0.00e+00	103	68048
4500000	1.88e-04	0.00e+00	102	63770
4800000	1.78e-04	0.00e+00	101	59950
5100000	1.70e-04	0.00e+00	100	56458
5400000	1.60e-04	0.00e+00	99	52642
5700000	1.51e-04	0.00e+00	98	49399
6000000	1.45e-04	0.00e+00	97	46902
6300000	1.40e-04	0.00e+00	96	44825
6600000	1.37e-04	0.00e+00	95	43385
6900000	1.33e-04	0.00e+00	94	41565
7200000	1.27e-04	0.00e+00	93	39426
7500000	1.23e-04	0.00e+00	92	37586
7800000	1.18e-04	0.00e+00	91	35836
8100000	1.14e-04	0.00e+00	90	34288
8400000	1.12e-04	0.00e+00	89	33231
8700000	1.10e-04	0.00e+00	88	32095
9000000	1.07e-04	0.00e+00	87	31043
9300000	1.05e-04	0.00e+00	86	30056
9600000	1.03e-04	0.00e+00	85	29165
9900000	1.01e-04	0.00e+00	84	28172
10200000	9.84e-05	0.00e+00	83	27190
10500000	9.61e-05	0.00e+00	82	26238
10800000	9.34e-05	0.00e+00	81	25193
11100000	9.07e-05	0.00e+00	80	24148
11400000	8.80e-05	0.00e+00	79	23146
11700000	8.54e-05	0.00e+00	78	22181
12000000	8.35e-05	0.00e+00	77	21396
12300000	8.22e-05	0.00e+00	76	20793
12600000	8.10e-05	0.00e+00	75	20236
12900000	7.98e-05	0.00e+00	74	19664
13200000	7.89e-05	0.00e+00	73	19167
13500000	7.80e-05	0.00e+00	72	18705
13800000	7.70e-05	0.00e+00	71	18195
14100000	7.55e-05	0.00e+00	70	17601
14400000	7.41e-05	0.00e+00	69	17018
14700000	7.28e-05	0.00e+00	68	16481
15000000	7.18e-05	0.00e+00	67	16010
15300000	7.08e-05	0.00e+00	66	15561
15600000	6.94e-05	0.00e+00	65	15023
15900000	6.83e-05	0.00e+00	64	14547
16200000	6.77e-05	0.00e+00	63	14208
16500000	6.70e-05	0.00e+00	62	13830
16800000	6.65e-05	0.00e+00	61	13508
17100000	6.57e-05	0.00e+00	60	13118
17400000	6.51e-05	0.00e+00	59	12789
17700000	6.45e-05	0.00e+00	58	12461
18000000	6.39e-05	0.00e+00	57	12121
18300000	6.35e-05	0.00e+00	56	11848
18600000	6.36e-05	0.00e+00	55	11648
18900000	6.45e-05	0.00e+00	54	11594
19200000	6.50e-05	0.00e+00	53	11469
19500000	6.49e-05	0.00e+00	52	11234
19800000	6.50e-05	0.00e+00	51	11031
20100000	6.52e-05	0.00e+00	50	10851
20400000	6.54e-05	0.00e+00	49	10677
20700000	6.52e-05	0.00e+00	48	10418
21000000	6.51e-05	0.00e+00	47	10190
21300000	6.52e-05	0.00e+00	46	9991
21600000	6.51e-05	0.00e+00	45	9754
21900000	6.45e-05	0.00e+00	44	9443
22200000	6.39e-05	0.00e+00	43	9146
22500000	6.35e-05	0.00e+00	42	8874
22800000	6.38e-05	0.00e+00	41	8704
23100000	6.44e-05	0.00e+00	40	8583
23400000	6.51e-05	0.00e+00	39	8448
23700000	6.51e-05	0.00e+00	38	8231
24000000	6.46e-05	0.00e+00	37	7964
24300000	6.37e-05	0.00e+00	36	7637
24747826	6.24e-05	0.00e+00	69	14346
25347692	6.12e-05	0.00e+00	65	13256
25947540	6.14e-05	0.00e+00	61	12469
26547368	6.37e-05	0.00e+00	57	12083
27147169	6.30e-05	0.00e+00	53	11120
27746938	6.24e-05	0.00e+00	49	10189
28346666	6.29e-05	0.00e+00	45	9421
28946341	6.37e-05	0.00e+00	41	8690
29545945	6.62e-05	0.00e+00	37	8160
30145454	6.96e-05	0.00e+00	33	7653
30744827	7.46e-05	0.00e+00	29	7201
31343999	7.54e-05	0.00e+00	25	6279
31942857	6.59e-05	0.00e+00	21	4606
32541176	5.46e-05	0.00e+00	17	3093
33266666	5.11e-05	0.00e+00	18	3061
34200000	8.24e-05	0.00e+00	10	2745
35800000	-1.40e-04	0.00e+00	-6	2795
36639999	-5.01e-05	0.00e+00	-15	2503
43968000	-5.17e-07	0.00e+00	-925	1591
