avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
450000	1.25e-03	0.00e+00	78	323446
899999	9.33e-04	0.00e+00	77	238516
1350000	8.32e-04	0.00e+00	76	209921
1800000	7.53e-04	0.00e+00	75	187575
2250000	6.84e-04	0.00e+00	74	167907
2700000	5.72e-04	0.00e+00	73	138685
3150000	5.17e-04	0.00e+00	72	123516
3600000	4.72e-04	0.00e+00	71	111257
4050000	4.28e-04	0.00e+00	70	99478
4500000	4.00e-04	0.00e+00	69	91605
4950000	3.83e-04	0.00e+00	68	86345
5400000	3.68e-04	0.00e+00	67	81839
5850000	3.49e-04	0.00e+00	66	76420
6300000	3.20e-04	0.00e+00	65	69003
6750000	3.00e-04	0.00e+00	64	63738
7200000	2.87e-04	0.00e+00	63	59972
7650000	2.74e-04	0.00e+00	62	56388
8100000	2.64e-04	0.00e+00	61	53439
8550000	2.56e-04	0.00e+00	60	50904
9000000	2.47e-04	0.00e+00	59	48361
9450000	2.41e-04	0.00e+00	58	46403
9900000	2.34e-04	0.00e+00	57	44268
10350000	2.30e-04	0.00e+00	56	42835
10800000	2.27e-04	0.00e+00	55	41451
11250000	2.20e-04	0.00e+00	54	39394
11699999	2.14e-04	0.00e+00	53	37705
12150000	2.09e-04	0.00e+00	52	36120
12600000	2.05e-04	0.00e+00	51	34671
13050000	2.01e-04	0.00e+00	50	33425
13500000	1.98e-04	0.00e+00	49	32126
13949999	1.94e-04	0.00e+00	48	30872
14400000	1.88e-04	0.00e+00	47	29293
14850000	1.80e-04	0.00e+00	46	27514
15300000	1.73e-04	0.00e+00	45	25822
15750000	1.68e-04	0.00e+00	44	24481
16200000	1.63e-04	0.00e+00	43	23244
16649999	1.59e-04	0.00e+00	42	22157
17100000	1.55e-04	0.00e+00	41	21146
17550000	1.50e-04	0.00e+00	40	19942
18000000	1.47e-04	0.00e+00	39	19073
18450000	1.44e-04	0.00e+00	38	18187
18900000	1.41e-04	0.00e+00	37	17276
19350000	1.40e-04	0.00e+00	36	16749
19800000	1.39e-04	0.00e+00	35	16191
20250000	1.38e-04	0.00e+00	34	15591
20700000	1.37e-04	0.00e+00	33	15041
21150000	1.37e-04	0.00e+00	32	14540
21600000	1.38e-04	0.00e+00	31	14207
22050000	1.40e-04	0.00e+00	30	13911
22500000	1.40e-04	0.00e+00	29	13501
22950000	1.41e-04	0.00e+00	28	13152
23400000	1.43e-04	0.00e+00	27	12782
23850000	1.43e-04	0.00e+00	26	12362
24300000	1.43e-04	0.00e+00	25	11864
24750000	1.42e-04	0.00e+00	24	11305
25200000	1.41e-04	0.00e+00	23	10798
25650000	1.41e-04	0.00e+00	22	10324
26100000	1.43e-04	0.00e+00	21	9957
26550000	1.43e-04	0.00e+00	20	9515
27000000	1.44e-04	0.00e+00	19	9105
27450000	1.43e-04	0.00e+00	18	8555
27900000	1.41e-04	0.00e+00	17	7985
28350000	1.42e-04	0.00e+00	16	7561
28800000	1.45e-04	0.00e+00	15	7244
29250000	1.49e-04	0.00e+00	14	6938
29699999	1.49e-04	0.00e+00	13	6447
30149999	1.47e-04	0.00e+00	12	5873
30600000	1.47e-04	0.00e+00	11	5354
31050000	1.45e-04	0.00e+00	10	4801
31500000	1.35e-04	0.00e+00	9	4041
31950000	1.19e-04	0.00e+00	8	3159
32400000	1.02e-04	0.00e+00	7	2363
32850000	8.77e-05	0.00e+00	6	1746
33299999	8.57e-05	0.00e+00	5	1422
33750000	6.82e-05	0.00e+00	4	906
34200000	9.90e-05	0.00e+00	3	986
34650000	1.55e-04	0.00e+00	2	1026
35100000	3.03e-04	0.00e+00	1	1006
0	0.00e+00	0.00e+00	0	998
36000000	-3.01e-04	0.00e+00	-1	1000
36450000	-1.63e-04	0.00e+00	-2	1080
36900000	-1.12e-04	0.00e+00	-3	1117
37350000	-5.55e-05	0.00e+00	-4	737
37800000	-2.34e-05	0.00e+00	-5	389
44072727	-1.61e-07	0.00e+00	-363	194
