avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
30000	2.72e-05	0.00e+00	1138	119461
60000	1.43e-05	0.00e+00	1137	62756
90000	1.04e-05	0.00e+00	1136	45582
134993	7.04e-06	0.00e+00	2269	61638
194993	6.02e-06	0.00e+00	2265	52598
254993	6.05e-06	0.00e+00	2261	52727
314993	6.08e-06	0.00e+00	2257	52940
374993	6.35e-06	0.00e+00	2253	55171
434993	6.12e-06	0.00e+00	2249	53079
494993	5.60e-06	0.00e+00	2245	48501
554993	5.36e-06	0.00e+00	2241	46296
614993	4.74e-06	0.00e+00	2237	40873
674993	4.40e-06	0.00e+00	2233	37930
734993	4.25e-06	0.00e+00	2229	36525
794993	4.28e-06	0.00e+00	2225	36749
869981	4.14e-06	0.00e+00	3330	53138
959981	3.97e-06	0.00e+00	3321	50846
1049981	3.83e-06	0.00e+00	3312	48977
1139981	3.63e-06	0.00e+00	3303	46225
1229981	3.65e-06	0.00e+00	3294	46344
1319981	3.44e-06	0.00e+00	3285	43582
1409981	3.40e-06	0.00e+00	3276	42898
1499981	3.46e-06	0.00e+00	3267	43623
1589981	3.46e-06	0.00e+00	3258	43527
1679981	3.25e-06	0.00e+00	3249	40675
1769981	3.16e-06	0.00e+00	3240	39467
1859981	3.16e-06	0.00e+00	3231	39426
1949981	3.18e-06	0.00e+00	3222	39470
2039981	3.04e-06	0.00e+00	3213	37678
2129981	2.92e-06	0.00e+00	3204	36124
2219981	2.87e-06	0.00e+00	3195	35336
2309981	2.83e-06	0.00e+00	3186	34752
2414964	2.75e-06	0.00e+00	4234	44861
2534964	2.65e-06	0.00e+00	4218	43112
2654964	2.56e-06	0.00e+00	4202	41535
2774964	2.49e-06	0.00e+00	4186	40259
2894964	2.36e-06	0.00e+00	4170	37970
3014963	2.29e-06	0.00e+00	4154	36622
3134963	2.22e-06	0.00e+00	4138	35492
3254963	2.17e-06	0.00e+00	4122	34439
3389941	2.07e-06	0.00e+00	5130	40869
3539941	1.99e-06	0.00e+00	5105	39113
3689940	1.93e-06	0.00e+00	5080	37820
3839940	1.89e-06	0.00e+00	5055	36768
3989940	1.84e-06	0.00e+00	5030	35667
4139940	1.80e-06	0.00e+00	5005	34669
4289939	1.75e-06	0.00e+00	4980	33659
4454911	1.72e-06	0.00e+00	5943	39365
4634911	1.68e-06	0.00e+00	5907	38166
4814910	1.64e-06	0.00e+00	5871	37106
4994910	1.61e-06	0.00e+00	5835	36273
5174909	1.56e-06	0.00e+00	5799	34784
5354908	1.50e-06	0.00e+00	5763	33419
5549874	1.46e-06	0.00e+00	6678	37614
5759873	1.43e-06	0.00e+00	6629	36574
5969872	1.39e-06	0.00e+00	6580	35352
6179871	1.35e-06	0.00e+00	6531	33887
6389870	1.30e-06	0.00e+00	6482	32514
6614828	1.26e-06	0.00e+00	7348	35606
6854827	1.22e-06	0.00e+00	7284	34314
7094825	1.19e-06	0.00e+00	7220	33047
7349776	1.15e-06	0.00e+00	8046	35587
7619774	1.11e-06	0.00e+00	7965	33977
7889771	1.07e-06	0.00e+00	7884	32609
8174714	1.05e-06	0.00e+00	8665	35006
8474711	1.02e-06	0.00e+00	8565	33853
8774707	1.01e-06	0.00e+00	8465	32958
9089641	9.92e-07	0.00e+00	9196	35183
9419636	9.71e-07	0.00e+00	9075	33968
9749631	9.54e-07	0.00e+00	8954	32961
10079626	9.44e-07	0.00e+00	8833	32171
10424548	9.25e-07	0.00e+00	9498	33899
10784541	8.98e-07	0.00e+00	9354	32393
11159452	8.64e-07	0.00e+00	9971	33207
11549442	8.43e-07	0.00e+00	9802	31870
11954341	8.33e-07	0.00e+00	10367	33305
12374328	8.35e-07	0.00e+00	10171	32753
12794315	8.30e-07	0.00e+00	9975	31935
13229197	8.21e-07	0.00e+00	10470	33166
13679180	8.03e-07	0.00e+00	10245	31730
14144044	7.86e-07	0.00e+00	10680	32360
14624021	7.81e-07	0.00e+00	10424	31392
15118866	7.77e-07	0.00e+00	10795	32338
15643692	7.70e-07	0.00e+00	11115	32996
16183653	7.57e-07	0.00e+00	10791	31517
16738450	7.43e-07	0.00e+00	11039	31632
17323223	7.33e-07	0.00e+00	11230	31768
17937966	7.28e-07	0.00e+00	11361	31901
18582675	7.27e-07	0.00e+00	11429	32053
19257344	7.27e-07	0.00e+00	11431	32041
19961964	7.29e-07	0.00e+00	11364	31951
20696525	7.25e-07	0.00e+00	11225	31382
21475697	7.17e-07	0.00e+00	11421	31588
22314683	7.11e-07	0.00e+00	11455	31427
23213424	6.99e-07	0.00e+00	11315	30491
24200783	6.82e-07	0.00e+00	11620	30573
25349982	6.37e-07	0.00e+00	12327	30273
26775315	5.98e-07	0.00e+00	13257	30570
28725378	5.49e-07	0.00e+00	14280	30258
44636809	-7.90e-08	0.00e+00	-98289	29939
