avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
360000	8.27e-04	0.00e+00	98	287740
720000	6.32e-04	0.00e+00	97	217503
1080000	5.68e-04	0.00e+00	96	193637
1439999	5.07e-04	0.00e+00	95	170915
1800000	4.64e-04	0.00e+00	94	154917
2160000	4.23e-04	0.00e+00	93	139695
2520000	3.87e-04	0.00e+00	92	126240
2880000	3.51e-04	0.00e+00	91	113318
3240000	3.22e-04	0.00e+00	90	102895
3600000	3.00e-04	0.00e+00	89	94789
3960000	2.83e-04	0.00e+00	88	88394
4320000	2.57e-04	0.00e+00	87	79487
4680000	2.50e-04	0.00e+00	86	76410
5040000	2.47e-04	0.00e+00	85	74639
5400000	2.40e-04	0.00e+00	84	71525
5760000	2.33e-04	0.00e+00	83	68642
6120000	2.24e-04	0.00e+00	82	65145
6480000	2.06e-04	0.00e+00	81	59223
6840000	1.92e-04	0.00e+00	80	54427
7200000	1.85e-04	0.00e+00	79	51906
7560000	1.80e-04	0.00e+00	78	49854
7920000	1.76e-04	0.00e+00	77	48213
8279999	1.74e-04	0.00e+00	76	47036
8640000	1.72e-04	0.00e+00	75	45892
9000000	1.70e-04	0.00e+00	74	44564
9360000	1.66e-04	0.00e+00	73	42914
9720000	1.61e-04	0.00e+00	72	41018
10080000	1.55e-04	0.00e+00	71	39112
10440000	1.49e-04	0.00e+00	70	36975
10800000	1.42e-04	0.00e+00	69	34731
11160000	1.37e-04	0.00e+00	68	33072
11520000	1.33e-04	0.00e+00	67	31662
11880000	1.28e-04	0.00e+00	66	30069
12240000	1.24e-04	0.00e+00	65	28577
12600000	1.20e-04	0.00e+00	64	27179
12960000	1.17e-04	0.00e+00	63	26237
13320000	1.15e-04	0.00e+00	62	25317
13680000	1.12e-04	0.00e+00	61	24282
14040000	1.09e-04	0.00e+00	60	23198
14400000	1.06e-04	0.00e+00	59	22277
14760000	1.04e-04	0.00e+00	58	21325
15120000	1.02e-04	0.00e+00	57	20607
15480000	1.01e-04	0.00e+00	56	20062
15840000	1.00e-04	0.00e+00	55	19559
16200000	1.00e-04	0.00e+00	54	19165
16559999	9.97e-05	0.00e+00	53	18758
16920000	9.96e-05	0.00e+00	52	18379
17280000	9.92e-05	0.00e+00	51	17944
17640000	9.88e-05	0.00e+00	50	17533
18000000	9.84e-05	0.00e+00	49	17105
18360000	9.72e-05	0.00e+00	48	16564
18720000	9.66e-05	0.00e+00	47	16109
19080000	9.53e-05	0.00e+00	46	15562
19440000	9.37e-05	0.00e+00	45	14960
19800000	9.30e-05	0.00e+00	44	14516
20160000	9.23e-05	0.00e+00	43	14090
20520000	9.11e-05	0.00e+00	42	13577
20880000	8.97e-05	0.00e+00	41	13054
21240000	8.93e-05	0.00e+00	40	12670
21600000	8.83e-05	0.00e+00	39	12218
21960000	8.71e-05	0.00e+00	38	11746
22320000	8.62e-05	0.00e+00	37	11317
22680000	8.51e-05	0.00e+00	36	10868
23040000	8.42e-05	0.00e+00	35	10452
23400000	8.34e-05	0.00e+00	34	10057
23760000	8.30e-05	0.00e+00	33	9715
24120000	8.26e-05	0.00e+00	32	9380
24480000	8.18e-05	0.00e+00	31	8994
24840000	8.10e-05	0.00e+00	30	8626
25200000	8.10e-05	0.00e+00	29	8338
25560000	8.16e-05	0.00e+00	28	8107
25920000	8.19e-05	0.00e+00	27	7849
26279999	8.16e-05	0.00e+00	26	7526
26640000	8.28e-05	0.00e+00	25	7344
27000000	8.28e-05	0.00e+00	24	7054
27360000	8.23e-05	0.00e+00	23	6718
27719999	8.25e-05	0.00e+00	22	6443
28080000	8.34e-05	0.00e+00	21	6212
28440000	8.49e-05	0.00e+00	20	6025
28800000	8.46e-05	0.00e+00	19	5701
29160000	8.18e-05	0.00e+00	18	5224
29520000	8.22e-05	0.00e+00	17	4957
29880000	8.21e-05	0.00e+00	16	4660
30240000	8.32e-05	0.00e+00	15	4431
30600000	8.41e-05	0.00e+00	14	4176
30960000	8.37e-05	0.00e+00	13	3859
31320000	8.04e-05	0.00e+00	12	3423
31680000	7.74e-05	0.00e+00	11	3020
32040000	7.30e-05	0.00e+00	10	2589
32400000	6.64e-05	0.00e+00	9	2120
32759999	5.91e-05	0.00e+00	8	1679
33119999	5.73e-05	0.00e+00	7	1423
33643636	5.24e-05	0.00e+00	11	2047
34354285	6.74e-05	0.00e+00	7	1674
35040000	1.66e-04	0.00e+00	3	1762
36000000	-5.35e-04	0.00e+00	-1	1900
36360000	-1.41e-04	0.00e+00	-2	1003
36925714	-7.13e-05	0.00e+00	-7	1770
37440000	-3.10e-05	0.00e+00	-5	550
44099999	-2.28e-07	0.00e+00	-580	469
