avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
180000	2.69e-04	0.00e+00	194	172176
360000	2.29e-04	0.00e+00	193	145578
540000	1.94e-04	0.00e+00	192	122953
719999	1.71e-04	0.00e+00	191	107557
900000	1.63e-04	0.00e+00	190	102290
1080000	1.51e-04	0.00e+00	189	94208
1260000	1.41e-04	0.00e+00	188	87374
1440000	1.30e-04	0.00e+00	187	80205
1620000	1.21e-04	0.00e+00	186	74184
1800000	1.22e-04	0.00e+00	185	74515
1980000	1.11e-04	0.00e+00	184	67518
2160000	1.05e-04	0.00e+00	183	63490
2340000	9.77e-05	0.00e+00	182	58632
2520000	9.01e-05	0.00e+00	181	53769
2700000	8.47e-05	0.00e+00	180	50244
2880000	8.08e-05	0.00e+00	179	47675
3060000	7.85e-05	0.00e+00	178	46086
3240000	7.49e-05	0.00e+00	177	43692
3420000	7.30e-05	0.00e+00	176	42369
3600000	6.97e-05	0.00e+00	175	40219
3779999	6.67e-05	0.00e+00	174	38241
3960000	6.40e-05	0.00e+00	173	36531
4139999	6.13e-05	0.00e+00	172	34787
4320000	5.93e-05	0.00e+00	171	33456
4500000	5.70e-05	0.00e+00	170	31924
4680000	5.50e-05	0.00e+00	169	30671
4860000	5.30e-05	0.00e+00	168	29364
5040000	5.15e-05	0.00e+00	167	28365
5220000	5.04e-05	0.00e+00	166	27606
5400000	4.92e-05	0.00e+00	165	26773
5580000	4.83e-05	0.00e+00	164	26137
5760000	4.72e-05	0.00e+00	163	25341
5940000	4.64e-05	0.00e+00	162	24766
6120000	4.55e-05	0.00e+00	161	24171
6300000	4.47e-05	0.00e+00	160	23602
6480000	4.40e-05	0.00e+00	159	23081
6660000	4.34e-05	0.00e+00	158	22632
6839999	4.28e-05	0.00e+00	157	22131
7020000	4.23e-05	0.00e+00	156	21770
7200000	4.21e-05	0.00e+00	155	21513
7380000	4.14e-05	0.00e+00	154	21028
7559999	4.10e-05	0.00e+00	153	20666
7740000	4.04e-05	0.00e+00	152	20230
7920000	3.97e-05	0.00e+00	151	19773
8100000	3.93e-05	0.00e+00	150	19430
8369696	3.87e-05	0.00e+00	297	37883
8729692	3.80e-05	0.00e+00	293	36709
9089688	3.74e-05	0.00e+00	289	35663
9449684	3.68e-05	0.00e+00	285	34575
9809679	3.60e-05	0.00e+00	281	33329
10169675	3.56e-05	0.00e+00	277	32489
10529670	3.52e-05	0.00e+00	273	31708
10889665	3.48e-05	0.00e+00	269	30853
11249660	3.43e-05	0.00e+00	265	29966
11609655	3.38e-05	0.00e+00	261	29085
11969649	3.33e-05	0.00e+00	257	28218
12329644	3.30e-05	0.00e+00	253	27521
12689638	3.30e-05	0.00e+00	249	27062
13049632	3.26e-05	0.00e+00	245	26360
13409626	3.23e-05	0.00e+00	241	25664
13769620	3.14e-05	0.00e+00	237	24561
14129613	3.03e-05	0.00e+00	233	23304
14489606	2.97e-05	0.00e+00	229	22449
14849599	2.92e-05	0.00e+00	225	21684
15209592	2.87e-05	0.00e+00	221	20921
15569585	2.82e-05	0.00e+00	217	20195
15929577	2.76e-05	0.00e+00	213	19391
16289569	2.70e-05	0.00e+00	209	18595
16649560	2.66e-05	0.00e+00	205	17953
17009552	2.59e-05	0.00e+00	201	17173
17369543	2.53e-05	0.00e+00	197	16424
17729533	2.47e-05	0.00e+00	193	15705
18089523	2.40e-05	0.00e+00	189	14967
18449513	2.36e-05	0.00e+00	185	14417
18809502	2.33e-05	0.00e+00	181	13922
19169491	2.33e-05	0.00e+00	177	13604
19529479	2.33e-05	0.00e+00	173	13305
19889467	2.33e-05	0.00e+00	169	12969
20338536	2.30e-05	0.00e+00	246	18674
20878481	2.27e-05	0.00e+00	237	17700
21418421	2.27e-05	0.00e+00	228	17029
21958356	2.25e-05	0.00e+00	219	16260
22498285	2.30e-05	0.00e+00	210	15927
23038208	2.32e-05	0.00e+00	201	15352
23578125	2.35e-05	0.00e+00	192	14900
24118032	2.37e-05	0.00e+00	183	14314
24657931	2.38e-05	0.00e+00	174	13632
25197818	2.40e-05	0.00e+00	165	13046
25737692	2.42e-05	0.00e+00	156	12429
26277551	2.45e-05	0.00e+00	147	11890
26817391	2.42e-05	0.00e+00	138	11023
27357209	2.41e-05	0.00e+00	129	10263
27984303	2.42e-05	0.00e+00	158	12597
28703661	2.50e-05	0.00e+00	142	11714
29422857	2.63e-05	0.00e+00	126	10924
30141818	2.57e-05	0.00e+00	110	9318
30944347	2.50e-05	0.00e+00	115	9474
31920000	2.27e-05	0.00e+00	105	7846
33360000	2.29e-05	0.00e+00	105	7929
43800000	-8.61e-07	0.00e+00	-2628	7459
